




============================================================================
Função: Griewangk
============================================================================
parameter;AGEO1;AGEO2;AGEO3;AGEO4;AGEO9;AGEO1var;AGEO2var;AGEO3var;AGEO4var;AGEO9var;
meanNFE;100100;100100;100100;100100;100100;100100;100100;100100;100100;100100;
meanFX;0,27393196097039013;0,07642425357362875;2,636091659744513;0,08717095977598668;0,09657272089256866;75,15830287407758;28,144800904659416;28,335811939193075;27,64060833195682;24,401548197866177;
medianFX;0,22659898331604822;0,06579944646484492;0,1609456561721856;0,0787670848076264;0,08709578815963037;76,36434602028052;29,14101096203151;29,698575299289395;28,816036579641683;23,502439644076905;
sdFX;0,2227324216918616;0,064774366217496;15,519619931422184;0,06592197064509356;0,05418687285515619;16,989140952407563;4,736627299634719;4,612009209976765;4,5768940350126535;4,518125534788733;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO1;AGEO2;AGEO3;AGEO4;AGEO9;AGEO1var;AGEO2var;AGEO3var;AGEO4var;AGEO9var;
70000;0,27393196097039013;0,09770225214710507;3,793022860175398;0,10511971117247751;0,1180286670368691;78,12747696389908;29,68488154674925;28,95602152563435;29,110900580331883;25,7968879513029;
75000;0,27393196097039013;0,09724125385413296;3,793022860175398;0,09960757294420126;0,11369709868602049;75,93107022921143;29,652922261744102;28,801928869095654;28,81109305060938;25,495146152181484;
80000;0,27393196097039013;0,09258101290576781;3,793022860175398;0,09398042739775844;0,11282483605602396;75,93107022921143;29,2768706871393;28,67177953977934;28,45639313764506;25,235043189256672;
85000;0,27393196097039013;0,08844048938029374;3,793022860175398;0,09215373617349476;0,10685682869201649;75,93107022921143;29,2768706871393;28,63277030160131;28,31017361913385;24,840314690229533;
90000;0,27393196097039013;0,08813565220995208;2,6415142710332766;0,09135675472430374;0,10406333844903412;75,93107022921143;29,20778705983732;28,63277030160131;28,196750638611462;24,527827968008395;
95000;0,27393196097039013;0,08307437773194717;2,6412102099117116;0,08940127751926485;0,09942859702535403;75,93107022921143;28,714908468792366;28,432619778103238;27,986609757347956;24,51522779804084;
100000;0,27393196097039013;0,07675187696312452;2,6361029595474763;0,08730203156120886;0,09663751987205904;75,15830287407758;28,144800904659416;28,335811939193075;27,64060833195682;24,401548197866177;

==========================================================
===> Melhores f(x) para cada execução:
execucao;AGEO1;AGEO2;AGEO3;AGEO4;AGEO9;AGEO1var;AGEO2var;AGEO3var;AGEO4var;AGEO9var;
1;0,697863441848961;0,17577157918148623;0,6297669489497918;0,18664856308644595;0,1706710200168945;87,60698507707933;32,02492876754522;31,44348332966224;30,128227058923862;25,196750755669427;
2;0,21673744051185728;0,07917656903550152;0,018802333690258632;0,029094051662752696;0,05154074425903166;59,985224124494984;22,45291787010669;22,911081905843826;30,24079302884513;31,11003769821342;
3;0,41883918551913024;0,08191420230331115;0,3272547195848998;0,17148160082919817;0,08709578815963037;101,18604023212679;33,283312095458854;26,869695169587555;30,280731828426312;30,489544736959054;
4;0,21958651170458288;0,12511741611541438;0,4355296947786621;0,1491217920557023;0,08455586794698255;64,86272282340639;22,083421624047126;22,146129755564985;19,711142583479152;23,087262470132224;
5;0,11389647248011603;0,08315058264476727;0,4044105917472747;0,015304842933572038;0,019568085086064557;79,70232826732861;35,0848058086666;33,073379492648634;25,714928026127097;22,71611050111;
6;0,280037715776859;0,0512579363825455;0,1816479290942853;0,17056537921119808;0,0982479459450809;96,4350449155501;27,261755099437632;31,35628054627642;24,68852539783563;23,595588623743815;
7;0,026185743462633693;0,02124806582966643;0,08303393910976165;0,11021566059286447;0,0648024543406509;85,74993908271259;21,82209033013232;28,07654583375616;30,04794756454502;22,636014445172677;
8;0,2710045844447775;0,06579944646484492;0,0019659232418319794;0,18023500887855826;0,15579730513219503;80,00301787030216;24,97229802684993;30,248827445315992;27,490815311708396;18,517260895849002;
9;0,22659898331604822;0,11598635271205804;0,16912871627876824;0,0640344106106514;0,08090938461712827;95,60772222686629;25,249968199976873;31,449756080487546;28,929518308014593;21,428393679511636;
10;0,8292438987250956;0,0019659232418319794;0,5669822833884797;0,2337371861415798;0,14535360462402336;87,27402695379885;33,40558578226632;25,3768407840614;32,55118492605237;28,278027520459585;
11;0,43354465486493976;0,18644554600656216;0,21253674634724973;0,10785563454791869;0,15533449883650985;48,662549333911514;38,06113205119509;35,099600765117;30,345264528187666;21,765292063302613;
12;0,0019659232418319794;0,0019659232418319794;0,0019659232418319794;0,0019659232418319794;0,06849472347234031;69,33452900571804;28,669985419717243;22,14274351185684;31,994273216527557;21,168311537043703;
13;0,09293923002118276;0,023427635749028064;0,33522892385278547;0,05119004490663237;0,06486009977653417;38,78712859169527;30,437152005211228;24,013785139203307;28,084150749541845;25,648235123378782;
14;0,4219534090497653;0,09203925621827946;0,019117787142422293;0,16408372963353168;0,14964264332914978;75,23436580243774;19,23985861247492;26,15158831968426;15,839905724619856;23,18125406579515;
15;0,018802333690258632;0,1126497559447508;0,008734251670899917;0,0019659232418319794;0,021657875669311877;56,04149274912636;21,046988725661198;20,00001318832627;33,095405599162284;33,23295252660036;
16;0,26675808019937797;0,07545884414817017;0,0019659232418319794;0,06414407814005907;0,14427269309426505;76,36434602028052;30,29291401307586;33,12363985796292;32,66597854262037;28,813983696341666;
