




============================================================================
Função: Griewangk
============================================================================
P = 16;   s =  1;   std1 =  4,00;   tau =  1,00  -->  NFE:   83075  -->  fx: 5,795331198982380E-03  -->  sd:1,363436391840860E-02
P =  8;   s =  1;   std1 =  1,00;   tau =  3,50  -->  NFE:   50088  -->  fx: 5,822836796054430E-03  -->  sd:1,121048640388940E-02
P = 16;   s =  1;   std1 =  2,00;   tau =  2,00  -->  NFE:   67849  -->  fx: 5,969934045458610E-03  -->  sd:1,037390747423870E-02
P = 16;   s =  1;   std1 =  8,00;   tau =  1,50  -->  NFE:   78218  -->  fx: 6,366026707154650E-03  -->  sd:1,354199691206500E-02
P = 16;   s =  1;   std1 =  1,00;   tau =  2,00  -->  NFE:   60316  -->  fx: 6,475903447867880E-03  -->  sd:1,137389368272420E-02
P = 16;   s =  2;   std1 =  4,00;   tau =  1,50  -->  NFE:   77939  -->  fx: 6,523478087074720E-03  -->  sd:1,185156583276670E-02
P = 16;   s =  1;   std1 =  8,00;   tau =  2,00  -->  NFE:   83557  -->  fx: 6,598372733934850E-03  -->  sd:1,059177128924370E-02
P =  8;   s =  2;   std1 =  1,00;   tau =  3,00  -->  NFE:   62270  -->  fx: 6,998572817461700E-03  -->  sd:1,086969221722510E-02
P = 16;   s =  2;   std1 =  8,00;   tau =  2,00  -->  NFE:   76527  -->  fx: 7,209154734529290E-03  -->  sd:1,173041133443980E-02
P =  8;   s =  2;   std1 =  2,00;   tau =  3,00  -->  NFE:   51537  -->  fx: 7,295093204879820E-03  -->  sd:1,257514714563960E-02
P = 16;   s =  2;   std1 =  8,00;   tau =  1,50  -->  NFE:   84841  -->  fx: 7,748985221096140E-03  -->  sd:1,283206408196600E-02
P =  8;   s =  2;   std1 =  8,00;   tau =  3,50  -->  NFE:   61717  -->  fx: 7,872655054792100E-03  -->  sd:1,113682860799740E-02
P = 16;   s =  2;   std1 =  4,00;   tau =  1,00  -->  NFE:   88800  -->  fx: 7,947777208946720E-03  -->  sd:1,892282146107940E-02
P = 16;   s =  2;   std1 =  2,00;   tau =  1,50  -->  NFE:   79544  -->  fx: 8,986725572484140E-03  -->  sd:1,334623175344070E-02
P =  8;   s =  2;   std1 =  1,00;   tau =  3,50  -->  NFE:   62962  -->  fx: 9,590966326392390E-03  -->  sd:1,564791315077960E-02
P = 16;   s =  2;   std1 =  1,00;   tau =  2,50  -->  NFE:   65581  -->  fx: 9,836624449824160E-03  -->  sd:1,428822206395890E-02
P = 16;   s =  2;   std1 =  4,00;   tau =  2,00  -->  NFE:   82305  -->  fx: 9,995509257736180E-03  -->  sd:1,021036716399940E-02
P =  4;   s =  2;   std1 =  4,00;   tau =  1,50  -->  NFE:   68586  -->  fx: 1,047965662434620E-02  -->  sd:2,309903986288880E-02
P = 16;   s =  2;   std1 =  2,00;   tau =  2,00  -->  NFE:   77586  -->  fx: 1,082517485033730E-02  -->  sd:1,318388886019300E-02
P =  8;   s =  2;   std1 =  2,00;   tau =  3,50  -->  NFE:   70019  -->  fx: 1,131300951131830E-02  -->  sd:1,415622072812340E-02
P =  8;   s =  1;   std1 =  2,00;   tau =  4,00  -->  NFE:   60724  -->  fx: 1,261971581603280E-02  -->  sd:1,771996289569980E-02
P =  8;   s =  1;   std1 =  4,00;   tau =  4,00  -->  NFE:   62613  -->  fx: 1,344495328504870E-02  -->  sd:1,675005069809670E-02
P =  4;   s =  1;   std1 =  4,00;   tau =  2,00  -->  NFE:   65494  -->  fx: 1,369928446882860E-02  -->  sd:3,003877218712340E-02
P =  8;   s =  2;   std1 =  8,00;   tau =  1,50  -->  NFE:   75048  -->  fx: 1,399298680704620E-02  -->  sd:2,658309622582000E-02
P =  8;   s =  2;   std1 =  4,00;   tau =  3,50  -->  NFE:   80511  -->  fx: 1,409972792046230E-02  -->  sd:2,185904805895210E-02
P =  8;   s =  2;   std1 =  2,00;   tau =  4,00  -->  NFE:   70347  -->  fx: 1,410454951640900E-02  -->  sd:1,514570287504580E-02
P = 16;   s =  2;   std1 =  1,00;   tau =  2,00  -->  NFE:   77800  -->  fx: 1,418402849727050E-02  -->  sd:1,620334554358240E-02
P =  8;   s =  1;   std1 =  1,00;   tau =  4,00  -->  NFE:   59399  -->  fx: 1,467746180603250E-02  -->  sd:1,698244881691600E-02
P = 16;   s =  2;   std1 =  2,00;   tau =  2,50  -->  NFE:   82808  -->  fx: 1,549525710234190E-02  -->  sd:1,525663798823680E-02
P = 16;   s =  1;   std1 =  1,00;   tau =  2,50  -->  NFE:   87056  -->  fx: 1,639689857080090E-02  -->  sd:1,399961599290870E-02
P =  8;   s =  1;   std1 =  8,00;   tau =  4,00  -->  NFE:   86715  -->  fx: 1,721390951012470E-02  -->  sd:1,693220690663960E-02
P =  8;   s =  2;   std1 =  8,00;   tau =  4,00  -->  NFE:   86930  -->  fx: 1,721446382868120E-02  -->  sd:1,646281659453320E-02
P = 16;   s =  1;   std1 =  2,00;   tau =  0,50  -->  NFE:   99511  -->  fx: 1,769705489326060E-02  -->  sd:3,180735904598530E-02
P = 16;   s =  1;   std1 =  4,00;   tau =  2,50  -->  NFE:   86136  -->  fx: 1,795151851801970E-02  -->  sd:1,766931872457620E-02
P = 16;   s =  1;   std1 =  2,00;   tau =  2,50  -->  NFE:   83022  -->  fx: 1,852750806874570E-02  -->  sd:2,082879105320880E-02
P = 16;   s =  1;   std1 =  1,00;   tau =  5,00  -->  NFE:   79780  -->  fx: 1,861504733773590E-02  -->  sd:1,580887580607730E-02
P = 16;   s =  1;   std1 =  8,00;   tau =  2,50  -->  NFE:   84638  -->  fx: 1,885406215188170E-02  -->  sd:1,723856233230960E-02
P =  8;   s =  1;   std1 =  4,00;   tau =  4,50  -->  NFE:   76894  -->  fx: 1,893787912701130E-02  -->  sd:1,903133932684280E-02
P = 16;   s =  2;   std1 =  4,00;   tau =  2,50  -->  NFE:   92042  -->  fx: 1,923371114091200E-02  -->  sd:1,732647601221410E-02
P = 16;   s =  2;   std1 =  8,00;   tau =  2,50  -->  NFE:   86275  -->  fx: 1,967366137845010E-02  -->  sd:1,820708369740630E-02
P = 16;   s =  1;   std1 =  1,00;   tau =  3,00  -->  NFE:   79191  -->  fx: 2,057881243638330E-02  -->  sd:1,739244060908470E-02
P =  8;   s =  1;   std1 =  2,00;   tau =  5,00  -->  NFE:   81644  -->  fx: 2,082397458650010E-02  -->  sd:1,708814409889500E-02
P =  8;   s =  1;   std1 =  1,00;   tau =  4,50  -->  NFE:   79255  -->  fx: 2,147989514051520E-02  -->  sd:1,888676485900740E-02
P =  8;   s =  2;   std1 =  4,00;   tau =  4,00  -->  NFE:   85738  -->  fx: 2,196478043990160E-02  -->  sd:1,901593568168880E-02
P =  8;   s =  1;   std1 =  1,00;   tau =  5,00  -->  NFE:   74957  -->  fx: 2,196887439115290E-02  -->  sd:1,959775199085380E-02
P =  8;   s =  2;   std1 =  2,00;   tau =  5,00  -->  NFE:   85245  -->  fx: 2,298013857455980E-02  -->  sd:1,537518889958010E-02
P =  8;   s =  1;   std1 =  8,00;   tau =  4,50  -->  NFE:   74356  -->  fx: 2,303097176228400E-02  -->  sd:2,056350636184840E-02
