============================================================================
Função: Paviani
============================================================================

1...2...3...4...5...6...7...8...9...10...11...12...13...14...15...16...17...18...19...20...21...22...23...24...25...26...27...28...29...30...
==========================================================
parameter;AGEO2_REAL2_igor;AGEO2_REAL2_porcentagem;AGEO2_REAL2_normal;
meanNFE;100068;100068;100068;
meanFX;-4,293427015032296;-42,45574390613854;-16,903177530672544;
sdFX;8,050597168334702;1,5925923336111476;4,203035951249596;

==========================================================
===> Médias para cada NFOB:
2;-106,76449039376212;-106,76453674762467;-106,76453552308675;
3;-106,76449835804058;-106,7645367475424;-106,76453604926489;
4;-106,76450656361772;-106,7645367403576;-106,76453666206521;
5;-106,76448852946778;-106,76453674197612;-106,76453603423003;
6;-106,76448053680072;-106,76453670898222;-106,76453672746005;
7;-106,76448695594623;-106,76453674156402;-106,7645355151436;
8;-106,76452876187919;-106,764536708923;-106,76453660414549;
9;-106,76414048896163;-106,7645367476141;-106,76453669437669;
10;-106,76438305127307;-106,76453673976688;-106,76453560477553;
11;-106,76452924779991;-106,76453674442557;-106,76453467903984;
12;-106,76390914331876;-106,7645367147297;-106,76453435442053;
13;-106,76433927353115;-106,76453674914649;-106,76453673869008;
14;-106,76451761855854;-106,76453674408849;-106,76453567476958;
15;-106,76449265766846;-106,76453673833488;-106,76453647488684;
16;-106,76408678691506;-106,7645367320718;-106,76453620502653;
17;-106,76447074072384;-106,76453673803779;-106,76453572554786;
18;-106,7642227218371;-106,76453674913759;-106,7645366951051;
19;-106,76442276878711;-106,76453673543361;-106,76453597128324;
20;-106,7644901376228;-106,76453674862786;-106,76453636997353;
21;-106,76451626753516;-106,76453672710986;-106,7645367022007;
22;-106,76441765989492;-106,76453672695425;-106,76453656572106;
23;-106,7645137549585;-106,76453674401247;-106,76453673151607;
24;-106,76452003978179;-106,76453672850967;-106,76453610507454;
25;-106,76453565199301;-106,76453674306214;-106,764536030146;
26;-106,76440866365648;-106,76453664925822;-106,76453674912757;
27;-106,76448186420278;-106,76453670248557;-106,7645349915343;
28;-106,76438111692407;-106,76453674289516;-106,76453671752799;
29;-106,76422668537157;-106,76453670235928;-106,76453652815722;
30;-106,76448810765704;-106,76453672145273;-106,76453635351308;

============================================================================
Função: Bohachevsky 1
============================================================================

1...2...3...4...5...6...7...8...9...10...11...12...13...14...15...16...17...18...19...20...21...22...23...24...25...26...27...28...29...30...
==========================================================
parameter;AGEO2_REAL2_igor;AGEO2_REAL2_porcentagem;AGEO2_REAL2_normal;
meanNFE;100001;100001;100001;
meanFX;0;5,999265316895356E-07;1,2945932879038224E-07;
sdFX;0;5,442658788398906E-07;1,8022131288565302E-07;

==========================================================
===> Médias para cada NFOB:
NFOB;AGEO2_REAL2_igor;AGEO2_REAL2_porcentagem;AGEO2_REAL2_normal;
500;0,7069740930784012;0,3208420196051154;0,6799166659554555;
1000;0,08910495742722802;0,06163649254272838;0,09345838192262401;
1500;0,0002203789079992117;0,04317179224029501;0,04891847913642033;
2000;1,5711612855554928E-06;0,0032614734811185707;0,01823965662145483;
2500;1,1823452365315271E-09;0,000876070672203999;0,017929495792147008;
3000;1,122904169648109E-09;0,00042911263200856586;0,0159852748601705;
3500;1,4367766236015694E-13;0,0003898040155215776;9,192319091802329E-05;
4000;1,0101549226722758E-13;0,0003566052457561364;8,35555138559337E-05;
4500;6,578071420904053E-14;0,0003374334077077027;2,5844597327473463E-05;
5000;1,1631436554656223E-14;0,00033392821021614266;2,2926414090392496E-05;
6000;1,1176245114559909E-15;3,877464257118583E-05;1,1591519424044202E-05;
7000;1,062113360224733E-15;1,4415639969315534E-05;8,696336453436112E-06;
8000;9,880984919163894E-16;1,2233704377691741E-05;8,09690308165208E-06;
9000;1,1102230246251566E-17;1,0222588184582992E-05;5,785923196592139E-06;
10000;1,1102230246251566E-17;9,954898426641396E-06;2,4228257493930093E-06;
12000;7,401486830834377E-18;8,595149889523146E-06;1,7516817223432271E-06;
14000;0;7,111628579829313E-06;1,4634826320284825E-06;
16000;0;6,007944633327582E-06;1,294428885934007E-06;
18000;0;6,007944633327582E-06;1,0472385619501405E-06;
20000;0;5,9779396170189795E-06;9,001289444365845E-07;
25000;0;4,664826428424362E-06;5,95706636415579E-07;
30000;0;3,3499670950824327E-06;4,4034315672310715E-07;
35000;0;2,655766624870548E-06;3,972579965390762E-07;
40000;0;2,4262261978306537E-06;3,543926407371482E-07;
45000;0;1,9505461362238444E-06;3,0853427764506353E-07;
50000;0;1,9505461362238444E-06;2,558808769796232E-07;
55000;0;1,9505461362238444E-06;2,506097502445274E-07;
60000;0;1,911666029275061E-06;2,3235992376857695E-07;
65000;0;1,5593188106769831E-06;1,8158379244681555E-07;
70000;0;1,3827986143614505E-06;1,597453531935559E-07;
75000;0;9,927234771852274E-07;1,597453531935559E-07;
80000;0;9,421965707486398E-07;1,5951257572958492E-07;
85000;0;8,674300871480689E-07;1,5032064065723105E-07;
90000;0;8,090890403359789E-07;1,2961095968340904E-07;
95000;0;7,48743429720052E-07;1,2961095968340904E-07;
