




============================================================================
============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================
============================================================================













============================================================================
Função: Griewangk
============================================================================
parameter;AGEO2;GEOreal1_P;AGEOreal1_P;AGEO2real1_P_AA;
25000;6,955955494924932;6,0257751933367585;18,81564095832671;0,8530761948837178;
30000;5,212764415519333;0,7829577755950405;18,36584808165919;0,4863344118779061;
35000;3,9481901778909787;0,09392258178685549;17,465442433465434;0,4498337950951451;
40000;2,972962214765351;0,08273411929446677;16,205754986697094;0,403847292630336;
45000;2,2149399793640514;0,07909936583873195;13,556896403414482;0,38595858206362654;
50000;1,6071365521534426;0,0764789209283773;9,80216345674242;0,3599176069525631;
55000;1,1232555439446377;0,07333176143244771;6,987245415637086;0,3422908703901933;
60000;0,8924300348339348;0,07236981575915967;4,662138608252424;0,31614298997185464;
65000;0,7561250298518751;0,07156285419179818;3,697226008952476;0,30244379530082527;
70000;0,6354811262552611;0,07104721591290968;2,3253566377422614;0,2965351184090127;
75000;0,6069540667226366;0,07096038603968029;0,9315645905041606;0,25805110760884087;
80000;0,5924390810690591;0,07049780851397607;0,8063912275632454;0,2482856189207832;
85000;0,5837755761305623;0,07009176095447506;0,766610061504935;0,24740655065223482;
90000;0,5789456157277566;0,06902073275973551;0,7080140295591496;0,24563960166803595;
95000;0,5716228001693636;0,06888889325121142;0,5296857158058587;0,23687044280772582;
100000;0,5696475284497738;0,06738095032606709;0,19850675786960145;0,22875571667715172;











============================================================================
Função: Beale
============================================================================
parameter;AGEO2;GEOreal1_P;AGEOreal1_P;AGEO2real1_P_AA;
meanNFE;100022;100000;100000;100002;
meanFX;0,0007177230392181644;8,57673878861431E-06;8,10147618965025E-06;1,807692320173045E-05;
melhorFX;1,6778542554548538E-07;6,635778843689899E-08;8,912247595006736E-08;7,978094204413439E-07;
piorFX;0,00890006584943226;4,6474858402502714E-05;3,8087640428243385E-05;8,851139228774503E-05;
medianFX;8,919404970794512E-05;4,630358239211477E-06;5,998562818503964E-06;7,464228465513958E-06;
sdFX;0,0020140035248070974;1,0237842295743361E-05;9,18574061960884E-06;2,242187329787314E-05;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2;GEOreal1_P;AGEOreal1_P;AGEO2real1_P_AA;
5;350,8955075967338;2918,0068232451126;2575,960772580364;2210,744618081984;
50;6,402091738330714;1045,1634003045572;636,1888783285747;72,32153456750156;
100;2,8334380426310912;192,19865229315272;387,0569306590331;8,22060897098121;
500;0,7831831579941969;1,5198679549945555;8,574247793476834;1,6260335550963831;
1000;0,5610532717413765;1,1175992892286888;0,6069992059008743;0,15159043567481356;
1500;0,5300142947817119;0,9690716675289583;0,32077676309158126;0,0567824587747686;
2000;0,4448231506310005;0,650118944936805;0,28685549581678;0,028297951710438602;
2500;0,28189545824115725;0,6382506962537415;0,2785473091546598;0,027687905515063584;
3000;0,26691032887702176;0,5656734717760139;0,2705913524215625;0,026939615404201166;
3500;0,20558281045946206;0,33877892073103066;0,2388914044950263;0,026410964385464673;
4000;0,14708926635555253;0,24456305198409975;0,20020222994266762;0,0007353072209513891;
4500;0,11536307229251565;0,23955085089519557;0,1930595881720185;0,0007001101732250712;
5000;0,10781037516332038;0,23955085089519557;0,1885310880814486;0,0006327528812568949;
6000;0,09216922628014323;0,23670838762894533;0,1885022091941561;0,0004675359172712292;
7000;0,08974959818866021;0,22982038562365054;0,1299444570048343;0,00043774138860417137;
8000;0,08927954436641038;0,22956237834033727;0,12980855864186233;0,00037879836649189734;
9000;0,06873889469996879;0,2295605695093267;0,10364913794717438;0,00035538637790200544;
10000;0,05762129281395987;0,22954677226851736;0,07799713066239099;0,000302852421839037;
12000;0,04564610592926255;0,22913826349381655;0,07798193924433744;0,00023323948212610303;
14000;0,04474308737649933;0,22913425675974167;0,07795960596170441;0,00018000073269913112;
16000;0,012266461664442325;0,20356266263145598;0,052236282250179164;0,00014946996627608855;
18000;0,004303271109329084;0,2034475557059764;0,052231876398583545;0,00010822567185572211;
20000;0,004258667347704433;0,20337733507902375;0,05185156229229436;0,00010072185069956732;
25000;0,003228011413018892;0,17789794684930696;0,05099705517521269;9,647897447944251E-05;
30000;0,0025748911556885386;0,1525217345750316;0,05098577531331323;7,54269320243008E-05;
35000;0,0018709431590318711;0,10164341231933588;0,05091286535998359;7,281310171368513E-05;
40000;0,0018647058469821844;0,10162348646182276;0,025538950564181276;4,71662465269729E-05;
45000;0,0012615365781156228;0,07623970032496011;8,014843689317079E-05;4,543463302175537E-05;
50000;0,0012338471446331789;0,05084330522491852;1,8058701753290744E-05;4,109652480510261E-05;
55000;0,0010500282581705459;0,050827277488773116;1,6604230122526753E-05;3,75418563718684E-05;
60000;0,0010370283579130932;0,05082493641847686;1,6181495577100552E-05;3,652338848969722E-05;
65000;0,0009873577437032321;0,05082393641889941;1,537172833425346E-05;3,403454815114416E-05;
70000;0,0009864367421260891;0,050800231240053485;1,4957085157471077E-05;3,142007562364036E-05;
75000;0,0007511346084953107;0,025411209171535956;1,3005047659737661E-05;2,398698959664663E-05;
80000;0,0007489843926705354;0,02541108113906671;1,0492587662675E-05;2,0962032804384823E-05;
85000;0,0007485954675358214;3,949931406435746E-05;8,495695828569057E-06;1,940591678588065E-05;
90000;0,0007485954675358214;1,2688597007619516E-05;8,13556743762067E-06;1,9020580249003543E-05;
95000;0,0007484612637705224;8,983000581231908E-06;8,10147618965025E-06;1,8313497250674697E-05;
100000;0,0007177230392181644;8,57673878861431E-06;8,10147618965025E-06;1,807692320173045E-05;



Execution Time: 347904 ms
