




============================================================================
Função: Griewangk
============================================================================
P =  8;   s = 10;   std1 =  1,00;   tau =  4,00  -->  NFE:  100143  -->  fx: 8,161978390903750E+01  -->  sd:1,960166102907860E+01
P =  8;   s = 10;   std1 =  1,00;   tau =  3,50  -->  NFE:  100143  -->  fx: 8,379106911673640E+01  -->  sd:2,283938394997530E+01
P =  8;   s = 10;   std1 =  1,00;   tau =  3,00  -->  NFE:  100143  -->  fx: 9,121303019498720E+01  -->  sd:2,270239283157630E+01
P =  8;   s = 10;   std1 =  5,00;   tau =  0,50  -->  NFE:  100143  -->  fx: 9,475774332947940E+01  -->  sd:3,419740736272770E+01
P =  8;   s = 10;   std1 =  1,00;   tau =  2,50  -->  NFE:  100143  -->  fx: 9,884748775003230E+01  -->  sd:2,697566267172980E+01
P = 16;   s = 10;   std1 =  5,00;   tau =  1,00  -->  NFE:  100153  -->  fx: 9,984238869564930E+01  -->  sd:2,662594892781000E+01
P =  8;   s =  2;   std1 =  1,00;   tau =  1,50  -->  NFE:  100143  -->  fx: 1,026075031863850E+02  -->  sd:2,547212032548310E+01
P =  4;   s = 10;   std1 =  1,00;   tau =  1,00  -->  NFE:  100036  -->  fx: 1,034664413210470E+02  -->  sd:2,996188341853910E+01
P = 16;   s =  2;   std1 =  1,00;   tau =  5,00  -->  NFE:  100153  -->  fx: 1,177193370556740E+02  -->  sd:2,997765412979870E+01
P =  8;   s = 10;   std1 =  1,00;   tau =  2,00  -->  NFE:  100143  -->  fx: 1,184383700530970E+02  -->  sd:2,991935463095250E+01
P = 16;   s =  2;   std1 =  1,00;   tau =  4,50  -->  NFE:  100153  -->  fx: 1,201682003539010E+02  -->  sd:2,927406742218170E+01
P = 16;   s =  2;   std1 =  1,00;   tau =  4,00  -->  NFE:  100153  -->  fx: 1,204410538926500E+02  -->  sd:3,050093750029770E+01
P = 16;   s =  2;   std1 =  1,00;   tau =  3,50  -->  NFE:  100153  -->  fx: 1,264669460906510E+02  -->  sd:3,175355028550820E+01
P = 16;   s =  2;   std1 =  1,00;   tau =  3,00  -->  NFE:  100153  -->  fx: 1,318716767473990E+02  -->  sd:3,284029122104330E+01
P = 16;   s = 10;   std1 = 10,00;   tau =  0,50  -->  NFE:  100153  -->  fx: 1,352179169691580E+02  -->  sd:3,721286994832470E+01
P = 16;   s =  2;   std1 =  1,00;   tau =  2,50  -->  NFE:  100153  -->  fx: 1,429913444686250E+02  -->  sd:3,476543309878510E+01
P =  4;   s =  2;   std1 =  1,00;   tau =  0,50  -->  NFE:  100036  -->  fx: 1,492202475688060E+02  -->  sd:3,560878498206760E+01
P =  8;   s = 10;   std1 =  1,00;   tau =  1,50  -->  NFE:  100143  -->  fx: 1,505297832582630E+02  -->  sd:3,489467825200420E+01
P =  8;   s =  2;   std1 =  1,00;   tau =  1,00  -->  NFE:  100143  -->  fx: 1,518874331202820E+02  -->  sd:3,624001909345510E+01
P = 16;   s = 10;   std1 =  1,00;   tau =  5,00  -->  NFE:  100153  -->  fx: 1,533117386132780E+02  -->  sd:3,549291555797840E+01
P = 16;   s = 10;   std1 =  1,00;   tau =  4,50  -->  NFE:  100153  -->  fx: 1,572284833899220E+02  -->  sd:3,737984734369030E+01
P = 16;   s = 10;   std1 =  1,00;   tau =  4,00  -->  NFE:  100153  -->  fx: 1,583079806266410E+02  -->  sd:3,701546518493580E+01
P = 16;   s =  2;   std1 =  1,00;   tau =  2,00  -->  NFE:  100153  -->  fx: 1,594348247029090E+02  -->  sd:3,636118327609750E+01
P = 16;   s =  2;   std1 =  5,00;   tau =  0,50  -->  NFE:  100153  -->  fx: 1,594360045678520E+02  -->  sd:3,559222606616680E+01
P = 16;   s = 10;   std1 =  1,00;   tau =  3,50  -->  NFE:  100153  -->  fx: 1,637706327835560E+02  -->  sd:3,710652071899920E+01
P = 16;   s = 10;   std1 =  1,00;   tau =  3,00  -->  NFE:  100153  -->  fx: 1,713125267680710E+02  -->  sd:3,665636287003810E+01
P = 16;   s = 10;   std1 =  1,00;   tau =  2,50  -->  NFE:  100153  -->  fx: 1,810089762504400E+02  -->  sd:3,954688522351220E+01
P =  4;   s = 10;   std1 =  1,00;   tau =  0,50  -->  NFE:  100036  -->  fx: 1,873644322309430E+02  -->  sd:4,350443891705400E+01
P = 16;   s =  2;   std1 =  1,00;   tau =  1,50  -->  NFE:  100153  -->  fx: 1,883380887101930E+02  -->  sd:3,987403242250670E+01
P =  8;   s = 10;   std1 =  1,00;   tau =  1,00  -->  NFE:  100143  -->  fx: 1,951841036790930E+02  -->  sd:4,282514681883500E+01
P = 16;   s = 10;   std1 =  1,00;   tau =  2,00  -->  NFE:  100153  -->  fx: 1,976895623910530E+02  -->  sd:4,177676438712330E+01
P = 16;   s = 10;   std1 =  5,00;   tau =  0,50  -->  NFE:  100153  -->  fx: 2,070808720080160E+02  -->  sd:4,663730323082840E+01
P = 16;   s = 10;   std1 =  1,00;   tau =  1,50  -->  NFE:  100153  -->  fx: 2,218725324479830E+02  -->  sd:4,429747679833620E+01
P =  8;   s =  2;   std1 =  1,00;   tau =  0,50  -->  NFE:  100143  -->  fx: 2,237485702812070E+02  -->  sd:4,479307773363830E+01
P = 16;   s =  2;   std1 =  1,00;   tau =  1,00  -->  NFE:  100153  -->  fx: 2,291372374944730E+02  -->  sd:4,477431001567860E+01
P =  8;   s = 10;   std1 =  1,00;   tau =  0,50  -->  NFE:  100143  -->  fx: 2,477663218506380E+02  -->  sd:4,784461115356690E+01
P = 16;   s = 10;   std1 =  1,00;   tau =  1,00  -->  NFE:  100153  -->  fx: 2,543652481613950E+02  -->  sd:4,653897580862360E+01
P = 16;   s =  2;   std1 =  1,00;   tau =  0,50  -->  NFE:  100153  -->  fx: 2,704437350312330E+02  -->  sd:4,925740766279100E+01
P = 16;   s = 10;   std1 =  1,00;   tau =  0,50  -->  NFE:  100153  -->  fx: 2,829572900055970E+02  -->  sd:5,009844449036040E+01





============================================================================
Função: Rastringin
============================================================================
