




============================================================================
Função: Griewangk
============================================================================
P =  4;   s =  2;   porc = 10,00;   tau =  5,00  -->  NFE:  100036  -->  fx: 7,851393011299270E-01  -->  sd:1,111601840758960E-01
P =  4;   s = 10;   porc =  5,00;   tau =  1,50  -->  NFE:  100036  -->  fx: 7,988322903534370E-01  -->  sd:1,908893302897120E-01
P =  4;   s =  2;   porc =  5,00;   tau =  2,00  -->  NFE:  100036  -->  fx: 8,067395169340440E-01  -->  sd:1,454229108141730E-01
P =  4;   s =  2;   porc = 10,00;   tau =  3,50  -->  NFE:  100036  -->  fx: 8,377865068594920E-01  -->  sd:1,036013221431340E-01
P =  4;   s =  2;   porc = 10,00;   tau =  3,00  -->  NFE:  100036  -->  fx: 8,938421033010010E-01  -->  sd:1,036291227534610E-01
P =  4;   s =  2;   porc = 10,00;   tau =  2,50  -->  NFE:  100036  -->  fx: 9,210548899776630E-01  -->  sd:1,279869975147880E-01
P =  4;   s = 10;   porc = 50,00;   tau =  2,50  -->  NFE:  100036  -->  fx: 9,296568705164920E-01  -->  sd:1,038760414667260E-01
P = 12;   s = 10;   porc = 10,00;   tau =  1,00  -->  NFE:  100016  -->  fx: 9,331917634695580E-01  -->  sd:1,940750547380390E-01
P =  4;   s =  2;   porc =  5,00;   tau =  1,50  -->  NFE:  100036  -->  fx: 9,783239387257200E-01  -->  sd:9,771759550317010E-02
P =  4;   s = 10;   porc = 10,00;   tau =  1,50  -->  NFE:  100036  -->  fx: 1,040291440720900E+00  -->  sd:1,248740162769120E-01
P =  4;   s =  2;   porc =  1,00;   tau =  0,50  -->  NFE:  100036  -->  fx: 1,051612669176530E+00  -->  sd:1,254762862013770E-01
P =  4;   s =  2;   porc = 10,00;   tau =  2,00  -->  NFE:  100036  -->  fx: 1,053946912993000E+00  -->  sd:7,232630549656730E-02
P = 12;   s = 10;   porc =  1,00;   tau =  1,00  -->  NFE:  100016  -->  fx: 1,066604306714040E+00  -->  sd:1,109644757693730E+00
P =  4;   s = 10;   porc = 50,00;   tau =  2,00  -->  NFE:  100036  -->  fx: 1,176712184610450E+00  -->  sd:1,760995854392060E-01
P =  4;   s =  2;   porc =  5,00;   tau =  1,00  -->  NFE:  100036  -->  fx: 1,188683544405950E+00  -->  sd:1,147087308885990E-01
P =  4;   s = 10;   porc =  1,00;   tau =  0,50  -->  NFE:  100036  -->  fx: 1,194622008228310E+00  -->  sd:2,104747751353050E-01
P =  4;   s = 10;   porc =  5,00;   tau =  1,00  -->  NFE:  100036  -->  fx: 1,200728679156120E+00  -->  sd:8,244858804477330E-02
P =  4;   s =  2;   porc = 10,00;   tau =  1,50  -->  NFE:  100036  -->  fx: 1,234438339783180E+00  -->  sd:1,012671714726540E-01
P = 12;   s =  2;   porc = 50,00;   tau =  1,00  -->  NFE:  100016  -->  fx: 1,412580486018040E+00  -->  sd:3,054080446769420E-01
P = 12;   s =  2;   porc =  5,00;   tau =  0,50  -->  NFE:  100016  -->  fx: 1,419559318516170E+00  -->  sd:2,888570696688020E-01
P =  4;   s =  2;   porc = 50,00;   tau =  5,00  -->  NFE:  100036  -->  fx: 1,655657202002530E+00  -->  sd:1,408026497908150E-01
P =  4;   s =  2;   porc = 50,00;   tau =  4,50  -->  NFE:  100036  -->  fx: 1,656242919335640E+00  -->  sd:1,392940102456630E-01
P =  4;   s =  2;   porc = 50,00;   tau =  3,50  -->  NFE:  100036  -->  fx: 1,792504203366420E+00  -->  sd:2,814943871958230E-01
P =  4;   s =  2;   porc = 50,00;   tau =  4,00  -->  NFE:  100036  -->  fx: 1,799801343267450E+00  -->  sd:2,264076468379740E-01
P =  4;   s = 10;   porc = 10,00;   tau =  1,00  -->  NFE:  100036  -->  fx: 1,874423458264330E+00  -->  sd:4,327984212650760E-01
P =  4;   s =  2;   porc = 10,00;   tau =  1,00  -->  NFE:  100036  -->  fx: 1,903579388431060E+00  -->  sd:3,203012850409040E-01
P =  4;   s =  2;   porc = 50,00;   tau =  3,00  -->  NFE:  100036  -->  fx: 1,973987805909750E+00  -->  sd:3,732037466881370E-01
P = 12;   s = 10;   porc = 50,00;   tau =  1,00  -->  NFE:  100016  -->  fx: 2,214803495882800E+00  -->  sd:1,165488221073150E+00
