




============================================================================
============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================
============================================================================













============================================================================
Função: Griewangk
============================================================================
parameter;GEOreal2_P_VO;GEOreal2_P_DS;GEOreal2_P_VO_UNI;GEOreal2_P_DS_UNI;
55000;0,00012727566252124234;0,0001272756624757676;0,00012727566245303025;0,00012727566238481813;
60000;0,00012727566249850497;0,00012727566243029287;0,00012727566245303025;0,00012727566238481813;
65000;0,0001272756624757676;0,0001272756624075555;0,00012727566243029287;0,00012727566238481813;
70000;0,00012727566245303025;0,00012727566238481813;0,0001272756624075555;0,0001272756623393434;
75000;0,00012727566238481813;0,0001272756623393434;0,0001272756624075555;0,0001272756623393434;
80000;0,00012727566238481813;0,0001272756623393434;0,0001272756624075555;0,00012727566229386866;
85000;0,00012727566236208076;0,0001272756623393434;0,00012727566238481813;0,0001272756622711313;
90000;0,00012727566231660604;0,0001272756623393434;0,00012727566238481813;0,00012727566224839392;
95000;0,0001272756622711313;0,0001272756623393434;0,00012727566236208076;0,00012727566222565657;
100000;0,00012727566224839392;0,0001272756623393434;0,0001272756623393434;0,00012727566222565657;











============================================================================
Função: Ackley
============================================================================
parameter;GEOreal2_P_VO;GEOreal2_P_DS;GEOreal2_P_VO_UNI;GEOreal2_P_DS_UNI;
meanNFE;100080;100080;100080;100080;
meanFX;3,0788275040549707E-09;4,121746499663459E-10;2,241892715915128E-09;4,0588039595945703E-10;
FXatual;3,0788275040549707E-09;4,121746499663459E-10;2,241892715915128E-09;4,0588039595945703E-10;
medianFX;2,2400783450393646E-09;4,164348865742795E-10;1,8421282277358841E-09;4,062137293203705E-10;
sdFX;4,046262915666102E-09;6,730846731742006E-11;1,1801023552148107E-09;5,2867929238663644E-11;
==========================================================
===> f(x) médio para cada NFE:
NFE;GEOreal2_P_VO;GEOreal2_P_DS;GEOreal2_P_VO_UNI;GEOreal2_P_DS_UNI;
5;20,975983290913796;20,979579386167458;20,974527792882178;20,984018410668675;
50;20,938234107494882;20,949476883455766;20,93775478609736;20,950770601322976;
100;20,92361908490686;20,931527038045125;20,925475166746217;20,933011778157432;
500;19,795542119147846;20,02641295140579;19,76436176603364;20,057885248994577;
1000;19,224375183440067;19,501711561122935;19,203422183582568;19,522029023560215;
1500;18,66072806168574;18,886035629915792;18,630855314160037;18,98081544432624;
2000;18,305015967117942;18,58299496378916;18,25720253606648;18,715461220226654;
2500;17,93249251190752;18,257315521470723;17,809550512930375;18,43682291016557;
3000;16,97243619544205;17,67721281397827;16,643669794997205;17,909469195996568;
3500;16,201307398780237;17,29229119640206;15,709683473208779;17,502737344027643;
4000;14,565209225257851;16,51119455718013;13,83628836092428;16,731901276104654;
4500;13,454728439344342;15,855172224265406;12,509753362304366;16,005273862113874;
5000;12,059760666625184;15,083922879660411;11,324107155603484;15,365221736948948;
6000;8,576850240812197;12,903634477869975;7,745088837961353;13,398866776791133;
7000;5,582983407711313;10,305424113050062;4,865280690958129;11,33793271469607;
8000;3,5752264940420266;7,823647585300438;2,7849893796136826;9,114533834601875;
9000;2,22788401302273;6,190795452637275;1,8362562905379574;7,64607518767003;
10000;1,3207746114256673;4,629687824761183;1,035865960225053;5,63288323612056;
