




============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================













============================================================================
Função: griewangk
============================================================================
parameter;AGEO2var_5;GEOreal2_P_DS;AGEOreal2_P_DS;
8000;0,05834620955301365;0,1776660142543498;0,0008922705886660857;
9000;0,055165155114097635;0,17708627584806508;0,0007018816132263163;
10000;0,05278363256575604;0,14666309076644066;0,0006504712139442197;
12000;0,044032972431871965;0,1327008590454127;0,0005817180335676361;
14000;0,04231182158051276;0,13136953199072662;0,0004809658176741377;
16000;0,0411375258083064;0,1022982367298308;0,00040858328057863803;
18000;0,027091482955249668;0,07063537006192816;0,00036934192434462637;
20000;0,01840255771675194;0,07054060656150671;0,00032706223833238533;
25000;0,014223584369084401;0,030465961768694854;0,00023391008880800721;
30000;0,013845377122837179;0,015232804961644957;0,00013889769102469671;
35000;0,0018931797826810628;0,0002868948794100936;7,6949546057029E-05;
40000;0,001199623042564272;7,93480535469971E-07;7,100373045917299E-05;
45000;0,0008056465066629656;1,406353029018638E-07;6,008758913596721E-05;
50000;0,0007076371367983103;1,1697819054055814E-07;5,292035056503073E-05;
55000;0,0003163394663220738;6,154296559988499E-08;4,954426993804211E-05;
60000;0,0002968737815341336;3,671933645488068E-08;4,618772492445729E-05;
65000;0,000277443217853953;2,1693899885594344E-08;4,02069543497071E-05;
70000;0,0002691818116518419;2,0105476267128976E-08;3,0319464089385244E-05;
75000;0,0002295885156467761;1,4347485551529329E-08;2,233047560976227E-05;
80000;0,00022364787944590555;1,007457706593865E-08;1,784607952949325E-05;
85000;0,00021103353537212395;9,942839566795574E-09;1,784607952949325E-05;
90000;0,00020167388503205237;9,227204847002285E-09;1,7256106395059994E-05;
95000;0,0001975762756751081;8,397800092944402E-09;1,6375662407856558E-05;
100000;0,0001955417714721101;7,804663049022041E-09;1,570871918843675E-05;



Execution Time: 410 s
