============================================================================
Função: Paviani
============================================================================

1...2...3...4...5...6...7...8...9...10...11...12...13...14...15...16...17...18...19...20...21...22...23...24...25...26...27...28...29...30...
==========================================================
parameter;AGEO2_REAL2_igor;AGEO2_REAL2_porcentagem;AGEO2_REAL2_normal;
meanNFE;100068;100068;100068;
meanFX;-4,3362905328509465;-42,52918536586292;-17,307071633986634;
sdFX;7,334062377042941;1,9362626298079242;4,315165135794541;

==========================================================
===> Médias para cada NFOB:
14000;-106,76344296833176;-106,7645366039375;-106,76452995131267;
16000;-106,76358547635989;-106,76453660937587;-106,76453038942579;
18000;-106,76371939732795;-106,76453662677635;-106,7645316999494;
20000;-106,76373229989181;-106,76453662737086;-106,76453176594322;
25000;-106,76383921782475;-106,76453666672019;-106,76453319085218;
30000;-106,7639204833583;-106,76453669220132;-106,7645333946232;
35000;-106,7640043725342;-106,76453670750534;-106,76453374594462;
40000;-106,76412816393056;-106,76453672376309;-106,7645343591731;
45000;-106,76424113320341;-106,76453672376309;-106,76453474034086;
50000;-106,76424765087349;-106,76453672376309;-106,76453475357651;
55000;-106,76427655252242;-106,76453672376309;-106,76453476603605;
60000;-106,76434260745691;-106,76453672435059;-106,76453492609127;
65000;-106,76436800941552;-106,76453672607863;-106,76453535661747;
70000;-106,7643701332198;-106,76453672772597;-106,76453535661747;
75000;-106,7643701332198;-106,76453672938665;-106,76453543949931;
80000;-106,76437312178679;-106,76453672938665;-106,76453546799408;
85000;-106,76438748389268;-106,7645367305638;-106,76453548980899;
90000;-106,76440132605556;-106,764536731317;-106,76453555978765;
95000;-106,76441362529968;-106,76453673131707;-106,76453555978765;
100000;-106,76441439625798;-106,76453673139693;-106,76453555978765;

==========================================================
===> Melhores f(x) para cada execução:
execucao;AGEO2_REAL2_igor;AGEO2_REAL2_porcentagem;AGEO2_REAL2_normal;
1;-106,76442905408796;-106,764536748173;-106,76453624689726;
2;-106,76446968658965;-106,76453674825484;-106,76453599624169;
3;-106,76421852639346;-106,76453674650978;-106,76452908831051;
4;-106,76450415497123;-106,76453674193321;-106,76453652995077;
5;-106,76449336360263;-106,76453674160815;-106,76453512721477;
6;-106,7644258448134;-106,76453674496861;-106,76453612071695;
7;-106,76449616260246;-106,76453672691213;-106,76453665883227;
8;-106,76449834112285;-106,76453674576956;-106,76453174158891;
9;-106,76451152424505;-106,76453673593713;-106,76453647698028;
10;-106,76439873175426;-106,76453673831608;-106,76453558529833;
11;-106,76450358010281;-106,76453673943666;-106,76453568654345;
12;-106,7644452714747;-106,76453672008057;-106,76453663434862;
13;-106,76414452108494;-106,76453674639234;-106,76453631139348;
14;-106,7645164378533;-106,76453674352535;-106,76453526272128;
15;-106,76449533237441;-106,76453674400842;-106,76453672918309;
16;-106,76449372049979;-106,76453672374322;-106,7645364815867;
17;-106,76446342538627;-106,76453667773768;-106,76453599953696;
18;-106,76451125208173;-106,76453674420198;-106,76453664083522;
19;-106,76441751327245;-106,7645367147347;-106,764536037703;
20;-106,76447195253442;-106,76453674172862;-106,76453666453821;
21;-106,76447670884141;-106,76453674099524;-106,76453593974972;
22;-106,76443313271116;-106,76453671526446;-106,76453601608111;
23;-106,7642363056489;-106,7645367436194;-106,7645355826152;
24;-106,76379751512147;-106,76453665364788;-106,76453626413458;
25;-106,76438023912733;-106,76453667587383;-106,76453647438306;
26;-106,76445442627951;-106,76453674912595;-106,76453621292333;
27;-106,76443338174248;-106,76453674385675;-106,76453643340197;
28;-106,76453302959855;-106,76453672745883;-106,76453549672442;
29;-106,7644699224743;-106,76453674006504;-106,7645316137241;
30;-106,76430882934682;-106,76453673802892;-106,76453473946991;

============================================================================
Função: Bohachevsky 1
============================================================================

1...2...3...4...5...6...7...8...9...10...11...12...13...14...15...16...17...18...19...20...21...22...23...24...25...26...27...28...29...30...
==========================================================
parameter;AGEO2_REAL2_igor;AGEO2_REAL2_porcentagem;AGEO2_REAL2_normal;
meanNFE;100001;100001;100001;
meanFX;0;8,633589553682282E-07;1,1966470189195278E-07;
sdFX;0;9,873765587788148E-07;1,0634190888711149E-07;

==========================================================
===> Médias para cada NFOB:
NFOB;AGEO2_REAL2_igor;AGEO2_REAL2_porcentagem;AGEO2_REAL2_normal;
500;0,28796527928747706;0,9619141317295715;1,6361202337148242;
1000;0,055693965495020266;0,16064611085846148;0,0688111162429567;
1500;3,981281435844197E-05;0,046869789232010434;0,000767833238052255;
2000;3,280949030977827E-10;0,015818661857846816;0,00025086636088323587;
2500;3,2630423918433846E-10;0,015338667488838215;0,0001506103907415161;
3000;1,3214950245199474E-10;0,014191515775482798;0,00011140772291162726;
3500;8,37725074494718E-12;0,0004876434699290407;4,3308298222433096E-05;
4000;4,158318134273032E-12;0,000166021613821928;3,235713059845935E-05;
4500;4,124485937969287E-12;0,00013063551983146792;2,1536713248682116E-05;
5000;1,4725258049944992E-14;0,00013060326486975896;1,7357969128780257E-05;
6000;3,848773152033876E-16;5,626218698210709E-05;6,323931105863453E-06;
7000;3,0346096006420946E-16;4,46524628034702E-05;4,315905376591396E-06;
8000;2,997602166487923E-16;3,5729600359224455E-05;3,5115456622603068E-06;
9000;1,4802973661668754E-17;3,1921288154031684E-05;3,0373990158557204E-06;
10000;1,4802973661668754E-17;2,2106669891556555E-05;2,977263545308103E-06;
12000;3,7007434154171884E-18;1,530127787752189E-05;2,5015298399932995E-06;
14000;3,7007434154171884E-18;1,3971183529741064E-05;1,91079222147487E-06;
16000;3,7007434154171884E-18;1,2477838366527678E-05;1,8340078823952943E-06;
18000;3,7007434154171884E-18;7,892726550447667E-06;9,860189717418125E-07;
20000;3,7007434154171884E-18;6,948506411356507E-06;7,416020623966328E-07;
25000;0;6,139525864061005E-06;6,865706725996586E-07;
30000;0;3,7867455493315974E-06;5,106444143828289E-07;
