




============================================================================
============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================
============================================================================













============================================================================
Função: Griewangk
============================================================================
parameter;AGEO1var_3;AGEO1var_5;AGEO1var_7;AGEO1var_9;AGEO1var_11;AGEO2var_3;AGEO2var_5;AGEO2var_7;AGEO2var_9;AGEO2var_11;
5;225,86736152771996;225,86736152771996;225,86736152771996;225,86736152771996;225,86736152771996;225,86736152771996;225,86736152771996;225,86736152771996;225,86736152771996;225,86736152771996;
50;217,48684744207938;217,48684744207938;217,48684744207938;217,48684744207938;217,48684744207938;217,48684744207938;217,48684744207938;217,48684744207938;217,48684744207938;217,48684744207938;
100;213,56737630707312;213,56737630707312;213,56737630707312;213,56737630707312;213,56737630707312;213,56737630707312;213,56737630707312;213,56737630707312;213,56737630707312;213,56737630707312;
500;165,30809447586378;152,83651507582246;162,1162794744957;149,92026606099938;154,28899502038306;181,26158153108827;174,33881834782773;170,48380085228416;174,70701606452062;173,93385685127612;
1000;77,06591576207852;84,86054881869917;89,86077936134565;93,75241850511807;81,90280766880251;85,09246380356578;83,92662387115487;93,92924706801448;96,05734774719004;93,08671847320325;
1500;49,35771340462643;58,2526306522014;60,308987675621474;73,98501538082797;60,36655095031087;54,12058877569269;50,81187118072353;63,76495643681672;57,92625485792481;55,76340819185041;
2000;29,613181271874428;39,89654208546809;38,47678418793906;50,31442399068124;44,38830995860214;29,102910123331572;32,19710002168261;33,34791909426205;32,544661026547;34,68975141058447;
2500;26,132542342345456;37,186867338261635;32,67905221767009;43,87879683700333;41,54677438294943;24,478537602372505;27,147009515095963;27,190737240275634;27,947084880295698;29,410277378589562;
3000;24,857547092261125;35,25888302672741;30,81849051543406;40,478380094821524;39,82855288926883;23,36855110157013;25,30020815552279;25,512937027869278;25,471853969684027;26,676962255473015;
3500;24,751665664389517;35,18949093255189;29,165897009481657;39,231565480858336;39,14282513875689;23,340210541750483;25,08948066309697;25,30326534715962;25,168226259465367;26,006804087061884;
4000;24,74554250802099;34,95358561854264;28,49850117857899;38,72372151876104;38,569758490597856;23,338775382249104;25,025178629143763;25,17552187760778;25,071846006712406;25,94960767288004;
4500;24,74554250802099;34,95294695707125;28,496482761678617;38,08344971128616;38,346231880738706;23,316616758682507;25,024223598644014;25,172096223920946;25,066248868590684;25,94330044123793;
5000;24,74554250802099;34,95285795195058;28,496422223986656;37,60033317744491;38,31790986448835;22,776960575718213;25,02382308474169;25,1714688538058;25,06608830223046;25,94290099358022;
6000;24,74554250802099;34,95285795195058;28,496422223986656;35,91470817789265;36,499895024145005;20,555242144422607;25,0236920894432;25,168890033642032;24,96770011424634;25,94285594299099;
7000;24,74554250802099;34,95285795195058;28,496422223986656;34,55723448685064;36,499785680619325;19,399176894784507;24,895610621357765;25,168787492365357;24,967651232422455;25,94285490722193;
8000;24,74554250802099;34,524496242230384;28,496422223986656;33,160771050338106;36,103760165230476;19,270503995246372;24,57026267359695;25,16878463075931;24,96759325438318;25,942854134698994;
9000;24,74554250802099;33,84847018365593;28,05663258769058;33,160771050338106;35,598655954692525;19,16041833799567;23,315745044407088;25,168783907034562;24,967591755575366;25,942852511923274;
10000;24,74554250802099;32,39444626490909;27,999425582217402;33,160771050338106;35,09139661125752;18,29175105997332;22,188419729599012;25,168783907034562;24,967591755575366;25,942852511923274;
12000;24,74554250802099;31,894419970415463;27,101484322929473;32,9779259025709;34,45981629540573;16,924789084773717;20,910912597827373;24,598807504218595;24,967591755575366;25,942852511923274;
14000;24,74554250802099;31,84758767389238;27,101484322929473;32,9779259025709;34,385905994854156;15,796260443891624;20,803133733895848;22,904373038941106;24,278245889441713;25,942852511923274;
16000;24,74554250802099;31,84758767389238;27,101484322929473;32,388664390677505;34,385905994854156;15,288703216186953;20,135015228089113;21,19161901813762;24,194642276015763;25,551185217653146;
18000;24,667386900560277;31,84758767389238;27,101484322929473;31,902394005336134;32,437982475606994;15,280847997073154;18,948771407249577;21,011605451094287;22,574373564655197;25,55091044366129;
20000;24,667386900560277;31,575455392026203;27,101484322929473;31,827058723241258;31,916014385513513;14,321148674584826;18,443126135803983;21,010890161149266;21,669616209732126;25,256837318143578;
25000;24,667386900560277;31,575455392026203;27,101484322929473;31,827058723241258;31,916014385513513;12,935968044569984;16,954270582625135;20,566973241603232;20,115753527917434;22,315269131366673;
30000;24,667386900560277;30,758177346386105;27,101484322929473;31,450583536919417;31,916014385513513;12,759029535158136;16,521855825188403;19,134167603314243;20,08269939337655;21,781723130313456;
35000;24,667386900560277;30,758177346386105;27,101484322929473;31,13739833138579;31,728311844807827;12,328915126415428;15,69339161618624;18,811122726232227;19,094125384121632;21,78167221525494;
40000;24,667386900560277;30,737048122818965;27,101484322929473;30,61500006191958;31,728311844807827;11,891604638293627;15,237673156509588;18,312117632228617;18,039101000570884;21,2837969801076;
45000;24,667386900560277;30,737048122818965;27,101484322929473;30,284657630140014;31,551130961613424;11,396691638196872;14,988485861346808;17,545047730527894;18,013164041527382;19,964364981021102;
50000;24,667386900560277;30,737048122818965;27,101484322929473;30,13931306742719;31,551130961613424;11,182488793257626;14,096805287488674;16,998189102001852;17,997653239200076;19,148560549142495;
55000;24,667386900560277;30,737048122818965;27,101484322929473;30,13931306742719;31,551130961613424;10,891115652946208;13,85231136064751;16,067981277262337;17,68864066530436;18,258709129470066;
60000;24,667386900560277;30,731234421902492;27,101484322929473;30,13931306742719;30,889730462868567;10,62525770414591;13,852288753731878;15,731967051846869;17,37861965490329;18,246698497126726;
65000;24,667386900560277;30,731234421902492;27,101484322929473;30,13931306742719;30,748305897197366;10,085365974718918;13,518816303415312;15,630891419899536;17,248380662970387;17,8983307270026;
70000;24,667386900560277;30,731234421902492;27,101484322929473;30,13931306742719;30,432677900207686;9,739446256712032;13,518753194785631;15,445855748706977;16,686787824443318;16,696632054512868;
75000;24,667386900560277;29,549858931160436;27,101484322929473;30,13931306742719;30,432677900207686;9,739446256712032;13,518753194785631;15,16778250537815;15,683110657182281;16,413770080477754;
80000;24,667386900560277;29,47536000845545;27,101484322929473;29,693125770452053;30,432677900207686;9,600032853443565;13,447485622670738;14,9357581050267;15,682869296654356;16,15071485127502;
85000;24,667386900560277;29,47536000845545;27,101484322929473;29,693125770452053;29,71934670185342;9,59397576924797;13,003534879149349;14,350199108417662;15,612706533548753;15,989633434580139;
90000;24,667386900560277;29,415165715486808;27,101484322929473;29,693125770452053;29,484675479658293;9,55738775542365;12,891710257631251;13,769662188463489;14,968628054130386;15,752325346188412;
95000;24,667386900560277;29,415165715486808;27,101484322929473;29,693125770452053;29,39773365935688;9,425383151152326;12,688085224630166;13,768616877962703;14,736544856021654;15,690702433851383;
100000;24,667386900560277;29,415165715486808;27,101484322929473;29,427179998553154;29,39773365935688;9,301214280503109;12,68806475951333;13,506487187074871;14,704264292587068;15,690701855607355;











============================================================================
Função: Rosenbrock
============================================================================
parameter;AGEO1var_3;AGEO1var_5;AGEO1var_7;AGEO1var_9;AGEO1var_11;AGEO2var_3;AGEO2var_5;AGEO2var_7;AGEO2var_9;AGEO2var_11;
meanNFE;100022;100022;100022;100022;100022;100022;100022;100022;100022;100022;
meanFX;0,00014320974708334068;0,00018974060333333198;0,00016736908958332966;0,00022770139312501648;0,0002101301437500075;4,312679583334283E-05;4,3812889583336336E-05;3,9328742708335405E-05;7,20123191666664E-05;6,771053291666966E-05;
FXatual;0,00014320974708334068;0,00018974060333333198;0,00016736908958332966;0,00022770139312501648;0,0002101301437500075;4,312679583334283E-05;4,3812889583336336E-05;3,9328742708335405E-05;7,20123191666664E-05;6,771053291666966E-05;
medianFX;9,999999999997797E-05;0,000146073599999998;0,00013639150624997993;0,00017185610000000032;0,0001300624999999644;3,612960000000539E-05;3,942560000001465E-05;2,5062499999999196E-05;4,262560000001891E-05;4,756250000002033E-05;
sdFX;0,00015554696203997506;0,00023821118247751075;0,00016310849338726697;0,00017828611723630887;0,00020307117316434705;4,0472861130686664E-05;4,2577759355444276E-05;4,724709080002913E-05;0,00012458811081260363;5,935573240418325E-05;
