




============================================================================
============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================
============================================================================













============================================================================
Função: Griewangk
============================================================================
parameter;AGEOreal1_P;AGEO2real1_P_autoadap;
12000;0,07669989679674147;1,1341029609583386;
14000;0,05747817807607878;1,1341027179484136;
16000;0,05746464269845294;1,1341027179484136;
18000;0,038369501847369376;1,1341026309979854;
20000;0,01913502858712986;1,1341026309979854;
25000;0,019104387418046646;1,1341026309979854;
30000;0,019090390126327746;1,1341026309979854;
35000;4,72055661322073E-05;1,1341026309979854;
40000;3,067455079418826E-05;1,1341026309979854;
45000;2,6889121722590018E-05;1,1341026309979854;
50000;2,269913073888004E-05;1,1341026309979854;
55000;2,149034949598585E-05;1,1341026309979854;
60000;2,0064969030673354E-05;1,1341026309979854;
65000;1,8050861590223444E-05;1,1341026309979854;
70000;1,6956000510595457E-05;1,1341026309979854;
75000;1,609087890873456E-05;1,1341026309979854;
80000;1,5144214378233494E-05;1,1341026309979854;
85000;1,43319150532503E-05;1,1341026309979854;
90000;1,3433644848568193E-05;1,0129669863645445;
95000;1,3433644848568193E-05;1,0129669863645445;
100000;1,2703113271590634E-05;1,0129669863645445;



Execution Time: 129251 ms
