




============================================================================
Função: Griewangk
============================================================================
P = 16;   s =  2;   std1 =  1,00;   tau =  2,00  -->  NFE:   65022  -->  fx: 1,131419316338100E-02  -->  sd:1,657237611261930E-02
P =  4;   s = 10;   std1 =  1,00;   tau =  5,00  -->  NFE:   70373  -->  fx: 1,151512174125730E-02  -->  sd:1,216728173184850E-02
P =  8;   s = 10;   std1 = 10,00;   tau =  3,50  -->  NFE:   77995  -->  fx: 1,165548324263780E-02  -->  sd:1,446862524094890E-02
P =  4;   s =  2;   std1 = 10,00;   tau =  5,00  -->  NFE:   42785  -->  fx: 1,165758056806790E-02  -->  sd:2,746598268971320E-02
P =  4;   s =  2;   std1 = 10,00;   tau =  4,50  -->  NFE:   42600  -->  fx: 1,167975517477530E-02  -->  sd:2,887436192781090E-02
P = 16;   s = 10;   std1 = 10,00;   tau =  1,50  -->  NFE:   94285  -->  fx: 1,290142526216210E-02  -->  sd:1,484707307533910E-02
P =  8;   s = 10;   std1 =  1,00;   tau =  3,00  -->  NFE:   78053  -->  fx: 1,347911803250500E-02  -->  sd:1,515933134373660E-02
P =  4;   s =  2;   std1 = 10,00;   tau =  4,00  -->  NFE:   52100  -->  fx: 1,409325328717570E-02  -->  sd:3,540104365884240E-02
P = 16;   s =  2;   std1 = 10,00;   tau =  2,50  -->  NFE:   69054  -->  fx: 1,416474909446740E-02  -->  sd:1,916485448949610E-02
P =  8;   s =  2;   std1 =  5,00;   tau =  4,00  -->  NFE:   77912  -->  fx: 1,467471281858380E-02  -->  sd:1,611362016415180E-02
P = 16;   s =  2;   std1 =  5,00;   tau =  2,50  -->  NFE:   75975  -->  fx: 1,659426711219610E-02  -->  sd:1,618052496563730E-02
P =  8;   s =  2;   std1 = 10,00;   tau =  5,00  -->  NFE:   76257  -->  fx: 1,669477562914570E-02  -->  sd:1,667414059790710E-02
P = 16;   s = 10;   std1 =  5,00;   tau =  2,00  -->  NFE:   94336  -->  fx: 1,733576048333190E-02  -->  sd:1,638786345771790E-02
P = 16;   s = 10;   std1 =  5,00;   tau =  1,50  -->  NFE:   99433  -->  fx: 1,854769539256020E-02  -->  sd:2,020834521431670E-02
P = 16;   s = 10;   std1 = 10,00;   tau =  2,00  -->  NFE:   92192  -->  fx: 1,880596604799350E-02  -->  sd:1,547035192205520E-02
P = 16;   s = 10;   std1 =  1,00;   tau =  2,00  -->  NFE:   92333  -->  fx: 1,938477594909710E-02  -->  sd:1,519449025149070E-02
P =  8;   s =  2;   std1 =  1,00;   tau =  3,50  -->  NFE:   72238  -->  fx: 1,947715643760590E-02  -->  sd:2,060698875090440E-02
P =  8;   s = 10;   std1 = 10,00;   tau =  4,50  -->  NFE:   79270  -->  fx: 1,947741328477120E-02  -->  sd:1,622795173654160E-02
P =  8;   s =  2;   std1 =  1,00;   tau =  4,50  -->  NFE:   70802  -->  fx: 1,996995836834150E-02  -->  sd:2,018956956036040E-02
P =  8;   s = 10;   std1 =  1,00;   tau =  3,50  -->  NFE:   83933  -->  fx: 2,016322858947060E-02  -->  sd:2,046397313562820E-02
P = 16;   s =  2;   std1 =  5,00;   tau =  3,00  -->  NFE:   90702  -->  fx: 2,046573194296590E-02  -->  sd:1,529568652689080E-02
P =  8;   s =  2;   std1 =  1,00;   tau =  4,00  -->  NFE:   77963  -->  fx: 2,066253070479790E-02  -->  sd:1,969381064038120E-02
P =  4;   s =  2;   std1 =  5,00;   tau =  1,50  -->  NFE:   69972  -->  fx: 2,109960150321080E-02  -->  sd:3,450157781214280E-02
P =  8;   s = 10;   std1 =  5,00;   tau =  3,50  -->  NFE:   89967  -->  fx: 2,124716610033720E-02  -->  sd:1,714689557545910E-02
P = 16;   s =  2;   std1 = 10,00;   tau =  3,00  -->  NFE:   77991  -->  fx: 2,143955681893260E-02  -->  sd:1,973695596001540E-02
P = 16;   s = 10;   std1 =  1,00;   tau =  2,50  -->  NFE:   90394  -->  fx: 2,204820327064310E-02  -->  sd:1,549131811718300E-02
P = 16;   s =  2;   std1 =  1,00;   tau =  3,00  -->  NFE:   79583  -->  fx: 2,232627997606160E-02  -->  sd:2,128756299155060E-02
P = 16;   s =  2;   std1 =  5,00;   tau =  3,50  -->  NFE:   81201  -->  fx: 2,252829283123840E-02  -->  sd:1,900036582277300E-02
P =  8;   s = 10;   std1 = 10,00;   tau =  4,00  -->  NFE:   89806  -->  fx: 2,262918786409800E-02  -->  sd:1,975789678966960E-02
P = 16;   s =  2;   std1 =  1,00;   tau =  2,50  -->  NFE:   90471  -->  fx: 2,283236212827420E-02  -->  sd:1,723128141858260E-02
P =  8;   s =  2;   std1 =  5,00;   tau =  4,50  -->  NFE:   81801  -->  fx: 2,314926492670690E-02  -->  sd:1,644100273301580E-02
P = 16;   s = 10;   std1 =  1,00;   tau =  3,00  -->  NFE:   88134  -->  fx: 2,350945705075800E-02  -->  sd:1,636955879692450E-02
P =  8;   s = 10;   std1 =  5,00;   tau =  4,00  -->  NFE:   93754  -->  fx: 2,371163800578030E-02  -->  sd:1,066431695397530E-02
P =  8;   s =  2;   std1 =  5,00;   tau =  5,00  -->  NFE:   77764  -->  fx: 2,376473003540720E-02  -->  sd:1,802351033894830E-02
P =  4;   s =  2;   std1 = 10,00;   tau =  3,50  -->  NFE:   67104  -->  fx: 2,432957629711930E-02  -->  sd:4,220421077782900E-02
P = 16;   s =  2;   std1 =  1,00;   tau =  3,50  -->  NFE:   90035  -->  fx: 2,459328488314950E-02  -->  sd:1,337220272709820E-02
P = 16;   s =  2;   std1 =  1,00;   tau =  4,50  -->  NFE:   93463  -->  fx: 2,459916647405510E-02  -->  sd:1,605557923938390E-02
P = 16;   s = 10;   std1 = 10,00;   tau =  2,50  -->  NFE:   92346  -->  fx: 2,608827336723510E-02  -->  sd:1,903902604780870E-02
P = 16;   s = 10;   std1 =  1,00;   tau =  4,00  -->  NFE:   94939  -->  fx: 2,646736346442200E-02  -->  sd:1,839605479975980E-02
P = 16;   s =  2;   std1 =  5,00;   tau =  4,50  -->  NFE:   89508  -->  fx: 2,764415778946280E-02  -->  sd:2,277682701428260E-02
P = 16;   s = 10;   std1 =  1,00;   tau =  5,00  -->  NFE:   90304  -->  fx: 2,813248552083320E-02  -->  sd:2,048240149688800E-02
P = 16;   s = 10;   std1 =  1,00;   tau =  4,50  -->  NFE:   93168  -->  fx: 2,813728243550500E-02  -->  sd:1,615311990155990E-02
P = 16;   s = 10;   std1 =  5,00;   tau =  3,50  -->  NFE:   91807  -->  fx: 2,853138668572850E-02  -->  sd:2,223266960504510E-02
P = 16;   s =  2;   std1 =  1,00;   tau =  5,00  -->  NFE:   89970  -->  fx: 2,872416295247760E-02  -->  sd:2,133420009280270E-02
P = 16;   s =  2;   std1 = 10,00;   tau =  3,50  -->  NFE:   88430  -->  fx: 2,892579071305410E-02  -->  sd:2,335267786046580E-02
P = 16;   s =  2;   std1 = 10,00;   tau =  1,00  -->  NFE:   87004  -->  fx: 2,892960637685640E-02  -->  sd:4,181382067869440E-02
P =  8;   s = 10;   std1 =  1,00;   tau =  4,00  -->  NFE:   90547  -->  fx: 2,901931228383710E-02  -->  sd:2,073159627847090E-02
P =  8;   s = 10;   std1 =  1,00;   tau =  5,00  -->  NFE:   96510  -->  fx: 2,921827855737700E-02  -->  sd:1,533597985458450E-02
P = 16;   s = 10;   std1 =  5,00;   tau =  2,50  -->  NFE:   95260  -->  fx: 2,928852720837050E-02  -->  sd:2,065496075000520E-02
P = 16;   s = 10;   std1 = 10,00;   tau =  5,00  -->  NFE:   94747  -->  fx: 2,991115785995850E-02  -->  sd:2,019288331120680E-02
P =  8;   s = 10;   std1 =  5,00;   tau =  5,00  -->  NFE:   83650  -->  fx: 3,029818013561680E-02  -->  sd:2,242756684923160E-02
P =  8;   s =  2;   std1 =  1,00;   tau =  5,00  -->  NFE:   78227  -->  fx: 3,128048148862860E-02  -->  sd:2,785243883409820E-02
P = 16;   s =  2;   std1 = 10,00;   tau =  4,00  -->  NFE:   84025  -->  fx: 3,138076143414470E-02  -->  sd:2,470811459855220E-02
P = 16;   s =  2;   std1 =  5,00;   tau =  5,00  -->  NFE:   86786  -->  fx: 3,216647810025220E-02  -->  sd:2,192239578656420E-02
P = 16;   s = 10;   std1 = 10,00;   tau =  4,50  -->  NFE:   93591  -->  fx: 3,237308139313770E-02  -->  sd:2,217289326391940E-02
P = 16;   s =  2;   std1 = 10,00;   tau =  4,50  -->  NFE:   89624  -->  fx: 3,285799759078920E-02  -->  sd:2,810039621624920E-02
