




============================================================================
Função: Griewangk
============================================================================
P = 12;   s =  2;   porc =  1,00;   tau =  1,00  -->  NFE:  100016  -->  fx: 4,533440195587570E-01  -->  sd:2,093998204707610E-01
P =  4;   s =  2;   porc =  0,50;   tau =  1,00  -->  NFE:  100036  -->  fx: 4,746522964169160E-01  -->  sd:8,995919463706320E-02
P =  4;   s =  1;   porc =  1,00;   tau =  2,00  -->  NFE:  100036  -->  fx: 4,776166533965310E-01  -->  sd:9,262002064256530E-02
P =  4;   s =  2;   porc =  5,00;   tau =  3,00  -->  NFE:  100036  -->  fx: 4,816249660140300E-01  -->  sd:8,739759324643080E-02
P = 12;   s =  1;   porc =  0,50;   tau =  5,00  -->  NFE:  100016  -->  fx: 5,196408487141480E-01  -->  sd:5,987195860058260E-01
P =  4;   s =  2;   porc = 10,00;   tau =  5,00  -->  NFE:  100036  -->  fx: 5,428683375378390E-01  -->  sd:7,965455759194810E-02
P =  4;   s =  1;   porc =  0,50;   tau =  1,00  -->  NFE:  100036  -->  fx: 5,468000095503960E-01  -->  sd:1,120921161893280E-01
P =  4;   s =  2;   porc = 10,00;   tau =  4,50  -->  NFE:  100036  -->  fx: 5,474940860927480E-01  -->  sd:9,339612833678380E-02
P =  4;   s =  1;   porc =  1,00;   tau =  1,50  -->  NFE:  100036  -->  fx: 5,535246144023910E-01  -->  sd:1,085801640031500E-01
P =  4;   s =  1;   porc =  3,00;   tau =  4,00  -->  NFE:  100036  -->  fx: 5,544091075661280E-01  -->  sd:1,072783582099340E-01
P =  4;   s =  2;   porc =  3,00;   tau =  2,00  -->  NFE:  100036  -->  fx: 5,548086311172770E-01  -->  sd:1,127601535308700E-01
P = 12;   s =  1;   porc =  0,50;   tau =  1,00  -->  NFE:  100016  -->  fx: 5,549043601759940E-01  -->  sd:4,475596368566100E-01
P = 12;   s =  2;   porc =  3,00;   tau =  1,00  -->  NFE:  100016  -->  fx: 5,606603054224770E-01  -->  sd:1,647394790407130E-01
P =  4;   s =  2;   porc = 10,00;   tau =  4,00  -->  NFE:  100036  -->  fx: 5,618812311079080E-01  -->  sd:1,098033406880390E-01
P = 12;   s =  1;   porc =  0,50;   tau =  4,00  -->  NFE:  100016  -->  fx: 5,636659795483530E-01  -->  sd:8,291535100196540E-01
P =  4;   s =  1;   porc =  3,00;   tau =  5,00  -->  NFE:  100036  -->  fx: 5,656467477063750E-01  -->  sd:8,389008429477020E-02
P =  4;   s =  2;   porc =  5,00;   tau =  2,50  -->  NFE:  100036  -->  fx: 5,835969263157180E-01  -->  sd:9,036895159292840E-02
P =  4;   s =  1;   porc =  3,00;   tau =  4,50  -->  NFE:  100036  -->  fx: 6,052007877808600E-01  -->  sd:6,899463270444180E-02
P =  4;   s =  1;   porc =  3,00;   tau =  3,50  -->  NFE:  100036  -->  fx: 6,181622586195530E-01  -->  sd:7,776951650824390E-02
P =  4;   s =  2;   porc =  1,00;   tau =  1,00  -->  NFE:  100036  -->  fx: 6,272242189991700E-01  -->  sd:1,193552014769030E-01
P =  4;   s =  2;   porc = 10,00;   tau =  3,50  -->  NFE:  100036  -->  fx: 6,281907662977210E-01  -->  sd:1,068160818669130E-01
P =  4;   s =  1;   porc =  3,00;   tau =  3,00  -->  NFE:  100036  -->  fx: 6,299121794367170E-01  -->  sd:1,037770955612860E-01
P =  4;   s =  2;   porc = 10,00;   tau =  3,00  -->  NFE:  100036  -->  fx: 6,565504973603210E-01  -->  sd:9,194652237365560E-02
P =  4;   s =  1;   porc =  5,00;   tau =  5,00  -->  NFE:  100036  -->  fx: 6,583619319233910E-01  -->  sd:1,068351202634850E-01
P = 12;   s =  1;   porc =  3,00;   tau =  1,00  -->  NFE:  100016  -->  fx: 6,619306407609940E-01  -->  sd:1,351432674453220E-01
P =  4;   s =  1;   porc =  3,00;   tau =  2,50  -->  NFE:  100036  -->  fx: 6,652411121638330E-01  -->  sd:9,873037700437730E-02
P = 12;   s =  2;   porc =  5,00;   tau =  1,00  -->  NFE:  100016  -->  fx: 6,660612550376870E-01  -->  sd:1,660731505629380E-01
P =  4;   s =  1;   porc =  5,00;   tau =  4,50  -->  NFE:  100036  -->  fx: 6,811692330345540E-01  -->  sd:1,159664079337500E-01
P =  4;   s =  1;   porc =  5,00;   tau =  3,50  -->  NFE:  100036  -->  fx: 7,085236188912600E-01  -->  sd:1,460376425543040E-01
P =  4;   s =  1;   porc =  5,00;   tau =  4,00  -->  NFE:  100036  -->  fx: 7,150270790333330E-01  -->  sd:9,814354562494850E-02
P =  4;   s =  1;   porc =  1,00;   tau =  1,00  -->  NFE:  100036  -->  fx: 7,224684766275630E-01  -->  sd:8,887524841020200E-02
P =  4;   s =  2;   porc =  5,00;   tau =  2,00  -->  NFE:  100036  -->  fx: 7,237884383576310E-01  -->  sd:1,094466001417920E-01
P =  4;   s =  1;   porc =  3,00;   tau =  2,00  -->  NFE:  100036  -->  fx: 7,611665712295210E-01  -->  sd:1,094785378143220E-01
P =  4;   s =  2;   porc =  3,00;   tau =  1,50  -->  NFE:  100036  -->  fx: 7,739730694033170E-01  -->  sd:9,641590099587470E-02
P =  4;   s =  2;   porc = 10,00;   tau =  2,50  -->  NFE:  100036  -->  fx: 7,830105038189730E-01  -->  sd:1,155957090320030E-01
P =  4;   s =  1;   porc =  5,00;   tau =  3,00  -->  NFE:  100036  -->  fx: 7,911157773831180E-01  -->  sd:8,790092570814670E-02
P = 12;   s =  2;   porc =  0,50;   tau =  2,50  -->  NFE:  100016  -->  fx: 8,330006332160520E-01  -->  sd:9,897790438329180E-01
P = 12;   s =  1;   porc =  5,00;   tau =  1,00  -->  NFE:  100016  -->  fx: 8,384138364097290E-01  -->  sd:1,375047416079910E-01
P =  4;   s =  1;   porc =  5,00;   tau =  2,50  -->  NFE:  100036  -->  fx: 8,425880038925710E-01  -->  sd:9,321008517519980E-02
P =  4;   s =  1;   porc =  0,50;   tau =  0,50  -->  NFE:  100036  -->  fx: 8,921704304720440E-01  -->  sd:1,387928356340230E-01
P = 12;   s =  2;   porc = 10,00;   tau =  1,00  -->  NFE:  100016  -->  fx: 8,972695950495050E-01  -->  sd:1,752589918780240E-01
P = 12;   s =  1;   porc =  0,30;   tau =  2,00  -->  NFE:  100016  -->  fx: 8,985358459463130E-01  -->  sd:1,260104772356050E+00
P =  4;   s =  1;   porc = 10,00;   tau =  5,00  -->  NFE:  100036  -->  fx: 9,207530255024680E-01  -->  sd:1,001577146794690E-01
P =  4;   s =  2;   porc = 10,00;   tau =  2,00  -->  NFE:  100036  -->  fx: 9,302682137189300E-01  -->  sd:1,117001672868930E-01
P =  4;   s =  1;   porc =  3,00;   tau =  1,50  -->  NFE:  100036  -->  fx: 9,329097149544080E-01  -->  sd:1,044296636132410E-01
P =  4;   s =  2;   porc =  5,00;   tau =  1,50  -->  NFE:  100036  -->  fx: 9,597940474800990E-01  -->  sd:9,852406153174550E-02
P =  4;   s =  1;   porc =  5,00;   tau =  2,00  -->  NFE:  100036  -->  fx: 9,606739178188340E-01  -->  sd:1,079668097797360E-01
P =  4;   s =  1;   porc = 10,00;   tau =  4,50  -->  NFE:  100036  -->  fx: 9,779840297029100E-01  -->  sd:7,220198861142770E-02
P =  4;   s =  1;   porc = 10,00;   tau =  4,00  -->  NFE:  100036  -->  fx: 9,803362207370390E-01  -->  sd:6,562207903297770E-02
P = 12;   s =  1;   porc = 10,00;   tau =  1,00  -->  NFE:  100016  -->  fx: 1,017999551750640E+00  -->  sd:9,043708872787100E-02
P =  4;   s =  2;   porc =  0,50;   tau =  0,50  -->  NFE:  100036  -->  fx: 1,023150347625380E+00  -->  sd:2,143779376270310E-01
P =  4;   s =  2;   porc =  1,00;   tau =  0,50  -->  NFE:  100036  -->  fx: 1,038192295497990E+00  -->  sd:9,933587036697830E-02
P =  4;   s =  1;   porc = 10,00;   tau =  3,50  -->  NFE:  100036  -->  fx: 1,038386495917270E+00  -->  sd:5,409116832893880E-02
P =  4;   s =  2;   porc =  3,00;   tau =  1,00  -->  NFE:  100036  -->  fx: 1,045461339266520E+00  -->  sd:6,849760132250930E-02
P =  4;   s =  1;   porc = 10,00;   tau =  3,00  -->  NFE:  100036  -->  fx: 1,053234752600320E+00  -->  sd:6,796510445969230E-02
