




============================================================================
============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================
============================================================================













============================================================================
Função: Griewangk
============================================================================
parameter;GEOreal2_O_VO;GEOreal2_P_VO;GEOreal2_N_VO;GEOreal2_O_DS;GEOreal2_P_DS;GEOreal2_N_DS;
35000;0,002596187963918049;0,00026100790436509264;4,806788521121631E-05;0,0072381791231324235;0,00035075546016878633;0,0017968344217871926;
40000;0,0008921716535082236;0,000125500457433426;4,0737027958510276E-05;0,004924507059956796;0,0001550323172715383;0,0017335044880524976;
45000;0,00024233870137036853;5,256843787509388E-05;3,191830423189658E-05;0,0034896784830564824;5,3645988286923224E-05;0,0007106313513348562;
50000;0,00023416305384946966;1,855633328087074E-05;2,8074474012647848E-05;0,002564894500794997;2,1672133642665126E-05;0,0006383085578614163;
55000;0,00019116030452662327;7,793639084916907E-06;2,2173907776091682E-05;0,0019275918230091543;1,697381433775819E-05;0,0006054893768280494;
60000;0,00017661106484138697;3,310187716252371E-07;2,1022505300937905E-05;0,0012641931342980508;3,836498854310165E-06;5,7109811161427265E-05;
65000;0,0001140326340116541;1,1929302141434838E-07;1,8232910966412755E-05;0,0010189127187686868;1,339830996123898E-06;5,601432109183154E-05;
70000;0,00011173063242453439;1,1188331234027859E-07;1,6469771054623166E-05;0,0008442591116447207;7,364933067692646E-08;5,595614121739012E-05;
75000;0,00011006831264006504;3,847645272473303E-08;1,5306263719454954E-05;0,0007952437718578749;2,0797157791182564E-08;3,39041043038953E-05;
80000;5,4078840705508E-05;3,847645272473303E-08;1,4339699542663511E-05;0,0006294554986909481;1,795969505995813E-08;3,39041043038953E-05;
85000;5,3196940703481566E-05;3,830116781727793E-08;1,3432833669078611E-05;0,00043506209322680047;1,516366381693937E-08;3,390321837120812E-05;
90000;5,3196940703481566E-05;3,6929661797069096E-08;1,1219526357447393E-05;0,0002765339766184517;1,3875190135322607E-08;3,389362064715355E-05;
95000;4,283262768203812E-05;3,5320170928635905E-08;1,0677529478096637E-05;0,0002035780765128085;1,2025305656013844E-08;3,378366096830508E-05;
100000;4,148559465548391E-05;1,377674138313319E-08;9,834992879720948E-06;0,00014097526730612;1,1969442805974343E-08;3,311469645522679E-05;











============================================================================
Função: Schwefel
============================================================================
parameter;GEOreal2_O_VO;GEOreal2_P_VO;GEOreal2_N_VO;GEOreal2_O_DS;GEOreal2_P_DS;GEOreal2_N_DS;
meanNFE;100000;100080;100080;100080;100080;100000;
meanFX;0,00012727566204375761;0,0001272756622711313;1954,8703825209636;0,0001272756622029192;0,00012727566222565657;1737,3543147321338;
FXatual;0,00012727566204375761;0,0001272756622711313;1954,8703825209636;0,0001272756622029192;0,00012727566222565657;1737,3543147321338;
medianFX;0,00012727566172543447;0,00012727566263492918;1961,8181427809113;0,00012727566263492918;0,00012727566263492918;1758,4545682859693;
sdFX;4,393276790684904E-13;4,5123573577878564E-13;368,3260374009674;4,599645083915811E-13;4,582320558763777E-13;322,6626484665337;
==========================================================
===> f(x) médio para cada NFE:
NFE;GEOreal2_O_VO;GEOreal2_P_VO;GEOreal2_N_VO;GEOreal2_O_DS;GEOreal2_P_DS;GEOreal2_N_DS;
5;4095,125638411526;4039,4778829535085;4211,942270243068;4140,871348989271;4117,470619036844;4190,724461274059;
50;3936,8346822825238;3820,103026772476;4201,583961293551;3917,040689789039;3891,2028037424666;4058,414700109583;
100;3846,957328176977;3728,415879699901;4198,565147899953;3814,0521843079237;3816,972879298257;3993,5343416147102;
500;1674,6386783486512;1239,4747196193837;4014,364953675036;1866,5434585441649;1815,0674880422862;3516,317183043513;
1000;1062,0493991482479;815,5321865392409;3823,0319352466877;1235,0788304248968;1218,8396397056551;3136,2069245402718;
1500;776,0753064421884;637,2835361638615;3643,2668402885806;951,6112953639813;963,8905852868344;2888,8366955446977;
2000;602,9441825878845;503,2805945568387;3465,487898578718;752,6900129054411;771,8697040103439;2664,3101409805085;
2500;493,7468660797169;438,0443502272675;3290,3165700828495;578,1948481082259;656,4861442144113;2488,863919567319;
3000;405,1881028380802;396,3725043969952;3136,4119461134824;500,7584576450957;555,8094021579992;2340,825403609487;
3500;350,6990582501212;354,90150445758434;2964,6022211456793;445,51877574368916;494,1937552446499;2264,0947303976714;
4000;318,431256407605;326,2393760307433;2834,5825852943135;403,9855424544734;444,2536623781334;2218,3296314486797;
4500;272,11644988644974;297,0572005069409;2716,026772933712;376,6755022776837;396,3149215968209;2147,963695831086;
5000;237,05706797067424;281,7200623171397;2595,2102001788026;336,9652346178984;356,6385018664582;2114,398288499756;
6000;184,54069186910925;242,2076290659592;2403,9894114322524;295,17545270436415;293,67467648086347;2077,8670121627206;
7000;157,420404830967;216,54223541983174;2247,3096429006605;265,1679052469831;257,50319184545606;2056,049253312423;
8000;140,6019642620838;177,69992723246332;2132,030573249173;233,10890020562542;225,14255877426058;2034,894620697647;
9000;97,39984620523907;138,0673898516862;2062,283532053534;191,9633712167436;201,08669342490504;2023,570276270948;
10000;73,17038234611381;112,66308122709825;2009,253930962251;162,6403760935923;179,02719671571822;2005,519706324109;
12000;37,70390509491468;83,1062720847141;1968,970837981506;120,25266577063546;136,67475959675986;1985,7844298331627;
14000;29,06030424437653;56,4064979709358;1956,498209816945;100,42629688372443;106,58788498358271;1973,519176319763;
16000;24,235709787535473;44,425325181336554;1954,8902310916055;83,23331620857121;86,37098843225439;1966,542451519228;
18000;22,97907845175032;32,57192459248928;1954,870382534767;75,91578222125284;69,45204482938848;1942,1430405241022;
20000;19,32379033705853;23,857841086688722;1954,870382521;61,604803586416025;49,437507163624254;1936,9101245958107;
25000;2,9724101663534386;3,9442643552426717;1954,8703825209636;17,819845951268054;18,835633305843896;1911,5642276859094;
30000;2,9610856410304676;2,961085641027398;1954,8703825209636;14,805017974960332;8,912026425565738;1897,8590270642849;
35000;2,9610856410235327;0,0023413121755311295;1954,8703825209636;8,885437298313548;8,883002371745386;1888,3727373222926;
40000;0,00012729825250517023;0,00012727566252124234;1954,8703825209636;5,922304452322294;8,883002371745352;1868,7056016786723;
45000;0,0001272756624075555;0,0001272756624757676;1954,8703825209636;2,9610856410256816;0,00017643895694163803;1860,1352468884702;
50000;0,00012727566236208076;0,00012727566245303025;1954,8703825209636;2,9610856410233852;0,00012727566249850497;1842,1861935702286;
55000;0,00012727566231660604;0,00012727566245303025;1954,8703825209636;2,9610856410233852;0,00012727566243029287;1825,1476687261572;
60000;0,00012727566224839392;0,00012727566243029287;1954,8703825209636;2,9610856410233395;0,00012727566243029287;1809,4267309710042;
65000;0,00012727566222565657;0,0001272756624075555;1954,8703825209636;2,961085641023226;0,00012727566243029287;1801,627382772772;
70000;0,00012727566215744445;0,0001272756624075555;1954,8703825209636;2,961085641023203;0,00012727566238481813;1783,2329217233516;
75000;0,00012727566215744445;0,0001272756624075555;1954,8703825209636;0,0001272756666139685;0,00012727566236208076;1773,9442906324716;
80000;0,00012727566213470708;0,0001272756624075555;1954,8703825209636;0,00012727566224839392;0,0001272756623393434;1766,8629200787013;
85000;0,00012727566211196973;0,00012727566231660604;1954,8703825209636;0,00012727566224839392;0,00012727566229386866;1754,3443038291548;
90000;0,00012727566211196973;0,00012727566231660604;1954,8703825209636;0,00012727566224839392;0,00012727566229386866;1746,6965705182931;
95000;0,000127275662066495;0,0001272756622711313;1954,8703825209636;0,00012727566222565657;0,0001272756622711313;1738,9270666500968;
100000;0,00012727566204375761;0,0001272756622711313;1954,8703825209636;0,0001272756622029192;0,00012727566222565657;1737,3543147321338;











