




============================================================================
============================================================================
TUNING: 4
============================================================================
============================================================================










============================================================================
Função: Griewangk
============================================================================
P = 10;   s =  1;   std1 =  0,50;   tau =  3,50  -->  NFE:   63450  -->  fx: 1,754237202193970E-02  -->  sd:1,943059755168040E-02
P =  5;   s =  4;   std1 = 10,00;   tau =  5,00  -->  NFE:   64195  -->  fx: 5,346411174237180E-03  -->  sd:9,918611738910430E-03
P =  5;   s =  2;   std1 =  0,50;   tau =  4,50  -->  NFE:   65273  -->  fx: 1,286831267506930E-02  -->  sd:1,580626037726730E-02
P = 10;   s =  1;   std1 =  2,00;   tau =  3,50  -->  NFE:   66126  -->  fx: 9,671851377819070E-03  -->  sd:1,412257090853840E-02
P = 10;   s =  4;   std1 =  2,00;   tau =  3,00  -->  NFE:   66833  -->  fx: 8,361635619458560E-03  -->  sd:1,431464799393440E-02
P =  5;   s =  4;   std1 =  0,50;   tau =  4,00  -->  NFE:   67058  -->  fx: 8,608591266966870E-03  -->  sd:1,338220672046660E-02
P = 10;   s =  4;   std1 = 10,00;   tau =  3,00  -->  NFE:   67403  -->  fx: 9,181890178741620E-03  -->  sd:1,338683067583460E-02
P =  5;   s =  2;   std1 =  1,00;   tau =  5,00  -->  NFE:   67991  -->  fx: 1,352659859859470E-02  -->  sd:1,407894334231600E-02
P = 10;   s =  2;   std1 =  1,00;   tau =  3,50  -->  NFE:   69383  -->  fx: 1,435018863815960E-02  -->  sd:1,612056735207800E-02
P = 10;   s =  1;   std1 =  0,50;   tau =  3,00  -->  NFE:   70633  -->  fx: 1,385253576563390E-02  -->  sd:1,825398214591680E-02
P =  5;   s =  1;   std1 = 10,00;   tau =  3,00  -->  NFE:   71086  -->  fx: 3,490648107642290E-02  -->  sd:4,126677878939540E-02
P = 10;   s =  1;   std1 = 10,00;   tau =  5,00  -->  NFE:   71383  -->  fx: 2,213826571502320E-02  -->  sd:2,391821430870620E-02
P = 10;   s =  4;   std1 =  2,00;   tau =  3,50  -->  NFE:   71743  -->  fx: 1,524652189549030E-02  -->  sd:1,588342675919390E-02
P = 10;   s =  1;   std1 =  1,00;   tau =  4,00  -->  NFE:   72053  -->  fx: 1,483565575260010E-02  -->  sd:1,511816778349570E-02
P = 10;   s =  1;   std1 = 10,00;   tau =  4,00  -->  NFE:   72633  -->  fx: 1,353083482924410E-02  -->  sd:1,639471155492840E-02
P = 10;   s =  1;   std1 =  0,50;   tau =  4,00  -->  NFE:   72896  -->  fx: 2,066052959099380E-02  -->  sd:2,166462224003590E-02
P = 10;   s =  4;   std1 = 10,00;   tau =  3,50  -->  NFE:   74970  -->  fx: 1,738131614138680E-02  -->  sd:1,984230132629780E-02
P =  5;   s =  1;   std1 =  0,50;   tau =  5,00  -->  NFE:   75450  -->  fx: 1,622599146074980E-02  -->  sd:1,805751828144050E-02
P = 10;   s =  2;   std1 = 10,00;   tau =  3,50  -->  NFE:   76520  -->  fx: 1,811601298309370E-02  -->  sd:1,434262632382630E-02
P =  5;   s =  4;   std1 =  0,50;   tau =  4,50  -->  NFE:   77648  -->  fx: 1,688963948754380E-02  -->  sd:1,387272296840160E-02
P = 10;   s =  1;   std1 =  0,50;   tau =  5,00  -->  NFE:   77880  -->  fx: 3,360079162908460E-02  -->  sd:2,712276949797320E-02
P =  5;   s =  2;   std1 = 10,00;   tau =  2,00  -->  NFE:   78195  -->  fx: 2,500248640718290E-02  -->  sd:2,927433655688030E-02
P = 10;   s =  2;   std1 = 10,00;   tau =  5,00  -->  NFE:   78420  -->  fx: 2,639944032223790E-02  -->  sd:2,259697432777950E-02
P =  5;   s =  4;   std1 =  1,00;   tau =  5,00  -->  NFE:   78545  -->  fx: 1,623273682355410E-02  -->  sd:1,736765919908480E-02
P = 10;   s =  4;   std1 =  1,00;   tau =  3,50  -->  NFE:   78640  -->  fx: 2,016835969546980E-02  -->  sd:1,672900831527700E-02
