




============================================================================
============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================
============================================================================













============================================================================
Função: Griewangk
============================================================================
parameter;AGEO2var_5;AGEOreal1_P;AGEOreal2_P_DS;
16000;0,029657058124412716;0,00012063703051277023;0,04210626922180764;
18000;0,018556703503438736;9,304485169952307E-05;0,041549415212327814;
20000;0,012535125558298391;8,185252488085174E-05;0,040914185544647035;
25000;0,007105162123137604;6,288908230475557E-05;0,03305005511177157;
30000;0,002932084494132824;4,923687558152774E-05;0,025113287580564997;
35000;0,00212560514158113;4,373511717266242E-05;0,018921206156980168;
40000;0,0013881538281039615;3,609455328354371E-05;0,015943938402487375;
45000;0,0011125642613687087;2,8311204058495193E-05;0,01537092980034159;
50000;0,0010509247683762666;2,6839865280855107E-05;0,013863066916180073;
55000;0,0008410392915406796;2,066758821923127E-05;0,01133827392436259;
60000;0,00038278616203101055;1,989537141939694E-05;0,010585195471035324;
65000;0,0003371779580214021;1,942021417002706E-05;0,009609523744065387;
70000;0,00031611151305732264;1,8927691594985274E-05;0,008536201555346765;
75000;0,00024068415776296327;1,6406767204720694E-05;0,007848918127194822;
80000;0,00020976604098420473;1,5068190854922495E-05;0,007848918127194822;
85000;0,00019892819564897718;1,4595820701567186E-05;0,007418698399354713;
90000;0,00018658611383841182;1,2314569010526401E-05;0,007331070298262664;
95000;0,00017592602145035752;1,1884183399675946E-05;0,0062287327986398555;
100000;0,0001615620228489245;1,0770936461513793E-05;0,005775729166001102;



Execution Time: 321075 ms
