




============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================













============================================================================
Função: griewangk
============================================================================
parameter;AGEO2;AGEO2var_5;AGEO2real1_P_AA;AGEO2real2_P_AA_p3;
sdFX;215,22627436671772;115,61386324222408;235,3823961612512;47,85489210746981;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2;AGEO2var_5;AGEO2real1_P_AA;AGEO2real2_P_AA_p3;
5;3996,8372948050733;3996,8372948050733;3932,9473578606785;3998,002488826398;
50;3804,616049966846;3804,616049966846;3519,2627063996256;3760,703369203319;
100;3674,3064026367674;3674,3064026367674;3081,6274824744432;3746,9235852093393;
500;3222,0438740556815;2242,1150220577615;1987,7384300103213;3055,8966061365018;
1000;2415,3265323252267;1170,4591603404351;1893,0797795384776;2117,8280778683957;
1500;1837,7526817585485;934,1712084257855;1828,3876178639953;1321,1709504732505;
2000;1463,4563941693073;914,2670956784419;1786,3665965153546;860,5753916675218;
2500;1219,9718686284766;911,4289498430397;1726,6917551544059;685,4748410144625;
3000;1071,438402067079;902,9510166132808;1677,887178908773;584,876818794426;
3500;977,0377013804766;890,834023757514;1651,7537544736012;490,0294136684151;
4000;938,9070468932014;863,5573493657702;1620,6412751123678;428,7420253564055;
4500;913,1414627787635;833,1230583212077;1603,8132759588507;386,952660381608;
5000;898,9324288396949;790,4892405374762;1558,3418983103836;357,44205439788936;
6000;888,3894963223248;754,7520146381789;1481,8184351514992;315,72452122167294;
7000;885,5684292953916;737,7063413408599;1451,0161900258818;298,6533373875522;
8000;884,5908396760532;725,3619267831272;1425,0980224705997;291,1279972311129;
9000;880,1195284436991;709,3276781892126;1402,532574212056;281,58305094389306;
10000;873,8012686077215;695,7523682082391;1383,75916835109;274,1446494648101;
12000;854,6539649084137;675,8724232058738;1356,8330182924933;238,57365559481744;
14000;838,4287622502284;626,6805701578055;1289,562372730292;213,50800499130534;
16000;824,673514623604;598,4205557184082;1259,7450458936096;189,82315034198334;
18000;793,7316379782799;581,4764211313001;1213,6005665485638;177,2728247861452;
20000;779,2472623392001;557,4598239402837;1170,4438744830882;156,93176034302948;
25000;736,1316703536125;514,0891768804555;1071,0509397346934;120,83854377643283;
30000;709,2085270540606;480,29519852834454;1016,6165535443823;104,2435577094529;
35000;667,3259101382354;449,06043068074325;988,7265109093543;84,11094923082315;
40000;632,6787332342595;413,3623280256186;968,568789342581;69,89238353484996;
45000;620,6147899297954;386,0932840126061;946,9852253017049;59,236646768581856;
50000;585,2805235816661;382,14128846690386;925,0246522636978;54,48176120114574;
55000;557,830228947601;367,5832331846015;901,6844936260146;47,37549462966052;
60000;542,8041614875277;360,46627122509386;883,7373335229831;42,64350886939097;
65000;528,4338908207892;346,8353883863962;864,3453154902594;40,26916104533355;
70000;521,7245994096024;329,4027347065261;848,3604071754849;40,269161044895;
75000;509,8381886971901;320,01327313966516;838,9773259932066;37,90039435260636;
80000;495,32809602151764;311,33842096913804;821,5922488236445;37,90039435260624;
85000;478,1282889503779;306,6033825699061;806,6205259312876;33,162861152681735;
90000;470,8271440533382;302,0802588390289;785,6879376687043;33,1628609680285;
95000;463,4033312653527;289,12249518848074;774,4840870882285;30,794094275739926;
100000;457,5120907257467;286,27569525185623;769,0519605639103;23,691129487807373;











============================================================================
Função: ackley
============================================================================
parameter;AGEO2;AGEO2var_5;AGEO2real1_P_AA;AGEO2real2_P_AA_p3;
meanNFE;100320;100320;100006;100161;
meanFX;0,7415758529564943;0,6350702945990873;0,22301548013652542;4,5663509794735547E-07;
melhorFX;0,0022338849933554172;0,0035143568051942964;0,06309153900261677;3,2994453391665957E-07;
piorFX;2,2214905789290107;1,8997890791796088;0,6570214755284169;5,751060285774656E-07;
medianFX;0,006099233315062236;0,0573319957063525;0,2013817790135235;4,6859945257438085E-07;
sdFX;0,8602942187244077;0,714200351838767;0,12003850996674788;4,963193564378296E-08;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2;AGEO2var_5;AGEO2real1_P_AA;AGEO2real2_P_AA_p3;
5;20,98998139006305;20,98998139006305;20,972280572845502;21,00787450769541;
50;20,94770217823704;20,94770217823704;20,91032326789056;20,947675638857472;
100;20,93284167522791;20,93284167522791;20,852118606056873;20,945229951714513;
500;20,887502719557787;20,63451625785334;20,081629779999606;20,901107714065056;
1000;20,83139589851833;19,73856758831662;19,40403991788902;20,73420949186074;
1500;20,746169033231027;18,332997980812774;19,088461769378252;20,41909590996687;
2000;20,611886302684514;16,000410328001358;18,56680090469284;20,027665035782842;
2500;20,43804429952909;13,043941795225166;17,923372592337785;19,677469574149413;
3000;20,230902920643715;9,942237003269094;17,19309198785886;18,746941052828653;
3500;20,013724264691945;6,660160745287417;16,53155957305713;17,444699758872513;
4000;19,753825850518112;4,500543011195891;15,776089695837465;15,989110266126534;
4500;19,46336322944846;2,7637814767243096;15,077850852285922;14,128958916513536;
5000;19,17265025466533;2,2583727598409435;14,428667302636974;13,133071686632418;
6000;18,480535095016776;1,7738111555185474;13,092745202762506;9,33229114952865;
