







=======================================================
Tuning: 0
=======================================================





============================================================================
Função: Griewangk
============================================================================
P = 12;   s =  1;   porc =  0,10;   tau =  4,00  -->  NFE:  100068  -->  fx: 5,718291516661690E+01  -->  sd:1,537553873832350E+01
P = 12;   s =  1;   porc =  0,10;   tau =  3,50  -->  NFE:  100068  -->  fx: 5,757147163615550E+01  -->  sd:1,988945694105090E+01
P = 12;   s =  1;   porc =  0,10;   tau =  5,00  -->  NFE:  100068  -->  fx: 6,121637801665830E+01  -->  sd:2,177147451298040E+01
P = 12;   s =  1;   porc =  0,10;   tau =  1,00  -->  NFE:  100068  -->  fx: 6,257074790255110E+01  -->  sd:2,045973472826730E+01
P = 12;   s =  2;   porc =  0,10;   tau =  3,00  -->  NFE:  100068  -->  fx: 6,364550423177310E+01  -->  sd:1,795347036369230E+01
P = 12;   s =  2;   porc =  0,10;   tau =  5,00  -->  NFE:  100068  -->  fx: 6,369947025863860E+01  -->  sd:1,788952963163970E+01
P = 12;   s =  2;   porc =  0,10;   tau =  3,50  -->  NFE:  100068  -->  fx: 6,436817490225790E+01  -->  sd:1,738093100004710E+01
P = 12;   s =  2;   porc =  0,10;   tau =  4,50  -->  NFE:  100068  -->  fx: 6,658084414882910E+01  -->  sd:1,463944765010350E+01
P = 12;   s =  2;   porc =  0,10;   tau =  4,00  -->  NFE:  100068  -->  fx: 6,669824623906690E+01  -->  sd:2,119449770883950E+01
P = 12;   s =  2;   porc =  0,10;   tau =  1,50  -->  NFE:  100068  -->  fx: 6,671792965914180E+01  -->  sd:1,436498898716280E+01
P = 12;   s =  2;   porc =  0,10;   tau =  1,00  -->  NFE:  100068  -->  fx: 1,175686209365440E+02  -->  sd:2,938324229735410E+01
P =  4;   s =  2;   porc = 50,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 1,502016657920890E+02  -->  sd:6,296523771989030E+01
P = 12;   s =  1;   porc =  0,10;   tau =  0,50  -->  NFE:  100068  -->  fx: 1,652082570556640E+02  -->  sd:3,389829221153690E+01
P =  4;   s =  1;   porc = 50,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 1,816797053190810E+02  -->  sd:6,010956443795170E+01
P = 12;   s =  2;   porc =  0,10;   tau =  0,50  -->  NFE:  100068  -->  fx: 2,093012849990630E+02  -->  sd:4,170250676743980E+01





============================================================================
Função: Rastringin
============================================================================
P = 12;   s =  2;   porc = 50,00;   tau =  5,00  -->  NFE:   46255  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 12;   s =  2;   porc = 10,00;   tau =  5,00  -->  NFE:   40704  -->  fx: 2,537652627714640E-16  -->  sd:1,342799553360500E-15
P = 12;   s =  2;   porc = 10,00;   tau =  4,50  -->  NFE:   47073  -->  fx: 5,075305255429290E-16  -->  sd:1,863506782885910E-15
P = 12;   s =  2;   porc = 10,00;   tau =  4,00  -->  NFE:   70192  -->  fx: 2,030122102171710E-15  -->  sd:3,268807135926270E-15
P = 12;   s =  2;   porc = 50,00;   tau =  4,50  -->  NFE:   68152  -->  fx: 2,283887364943180E-15  -->  sd:3,379304769209110E-15
P = 12;   s =  2;   porc = 50,00;   tau =  4,00  -->  NFE:   87268  -->  fx: 1,015061051085860E-14  -->  sd:1,259657637473190E-14
P = 12;   s =  2;   porc = 10,00;   tau =  3,50  -->  NFE:   95772  -->  fx: 4,872293045212120E-14  -->  sd:9,620238793597600E-14
P = 12;   s =  2;   porc = 50,00;   tau =  3,50  -->  NFE:  100016  -->  fx: 5,189499623676450E-13  -->  sd:1,209982060728680E-12
P = 12;   s =  1;   porc = 10,00;   tau =  5,00  -->  NFE:  100016  -->  fx: 1,560402600781730E-12  -->  sd:3,633241818758390E-13
P = 12;   s =  1;   porc = 10,00;   tau =  4,50  -->  NFE:  100016  -->  fx: 2,148884245148760E-12  -->  sd:6,199631195967300E-13
P = 12;   s =  1;   porc = 10,00;   tau =  4,00  -->  NFE:  100016  -->  fx: 5,360283645521640E-12  -->  sd:2,497717155000150E-12
P = 12;   s =  1;   porc = 50,00;   tau =  5,00  -->  NFE:  100016  -->  fx: 3,724690397380720E-11  -->  sd:7,474768861727250E-12
P = 12;   s =  1;   porc = 10,00;   tau =  3,50  -->  NFE:  100016  -->  fx: 5,127124122087220E-11  -->  sd:7,257129754427200E-11
P = 12;   s =  1;   porc = 50,00;   tau =  4,50  -->  NFE:  100016  -->  fx: 5,546217453554290E-11  -->  sd:1,357125014888560E-11
P = 12;   s =  1;   porc = 50,00;   tau =  4,00  -->  NFE:  100016  -->  fx: 1,251118573821130E-10  -->  sd:6,312625736771550E-11
P = 12;   s =  2;   porc = 10,00;   tau =  3,00  -->  NFE:  100016  -->  fx: 1,813195942596780E-10  -->  sd:4,926002412411680E-10
P = 12;   s =  1;   porc = 50,00;   tau =  3,50  -->  NFE:  100016  -->  fx: 1,322297953671690E-09  -->  sd:1,011113772463310E-09
P = 12;   s =  2;   porc = 50,00;   tau =  3,00  -->  NFE:  100016  -->  fx: 3,409789276328670E-09  -->  sd:5,564384119314250E-09
P = 12;   s =  1;   porc = 10,00;   tau =  3,00  -->  NFE:  100016  -->  fx: 8,643401169397940E-09  -->  sd:1,164836505768530E-08
P = 12;   s =  1;   porc = 50,00;   tau =  3,00  -->  NFE:  100016  -->  fx: 4,757048172519620E-07  -->  sd:1,539238506235150E-06
P = 12;   s =  2;   porc = 10,00;   tau =  2,50  -->  NFE:  100016  -->  fx: 2,864107972756970E-06  -->  sd:8,823220771255420E-06
P = 12;   s =  1;   porc = 10,00;   tau =  2,50  -->  NFE:  100016  -->  fx: 7,876752573362670E-06  -->  sd:1,206406207995720E-05
P = 12;   s =  2;   porc = 50,00;   tau =  2,50  -->  NFE:  100016  -->  fx: 3,576025285286940E-05  -->  sd:8,733492867740890E-05
P = 12;   s =  1;   porc = 50,00;   tau =  2,50  -->  NFE:  100016  -->  fx: 4,677754163012590E-04  -->  sd:1,325920805437820E-03
