




============================================================================
============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================
============================================================================













============================================================================
Função: Griewangk
============================================================================
parameter;AGEO1;AGEO2;AGEO3;AGEO4;
35000;4,434849316318742;3,710047051857896;7,1191841100985265;3,6331154779757773;
40000;3,2579833342077293;2,765382685420482;5,788827547966166;2,662030474032675;
45000;2,395711412346167;2,013167655163554;4,803553946868622;1,9354622328585662;
50000;1,652017702982368;1,3247662686460653;3,7917877411006518;1,3130129697011137;
55000;1,1677992953255136;0,961684777781424;2,9847340095381374;0,9619069785733265;
60000;0,8772512149371662;0,6969308380290012;2,416017563704752;0,743869699703774;
65000;0,6866649256860663;0,5532674935902674;1,933413571098918;0,6009117291807391;
70000;0,5791902271610426;0,48861350307593887;1,626416487310027;0,505082091274343;
75000;0,4603275228379966;0,45909926319528155;1,4534113304847047;0,47459288345648337;
80000;0,4233233624827333;0,443854719580796;1,342074600507921;0,4586500691906694;
85000;0,40418853232118473;0,43478767176504646;1,272256459709709;0,4488702517869747;
90000;0,3942405351150798;0,4292472039822845;1,2103218279577348;0,4433305180666996;
95000;0,38848588398519224;0,42606531343484766;1,1722962838800872;0,4401500086139778;
100000;0,38508973861992096;0,42278244848061597;1,1530066992888437;0,43477840039069876;











============================================================================
Função: Beale
============================================================================
parameter;AGEO1;AGEO2;AGEO3;AGEO4;
meanNFE;100022;100022;100022;100022;
meanFX;0,00029636128679841854;0,00015288167013108788;0,001044102755697178;0,049221849211671234;
FXatual;0,00029636128679841854;0,00015288167013108788;0,001044102755697178;0,049221849211671234;
medianFX;0,00013561052087885384;8,919404970794512E-05;0,0006009141086441902;0,00018908205195737577;
sdFX;0,0005111250266732353;0,0003033408199701277;0,0012454453193750518;0,18033015558893822;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO1;AGEO2;AGEO3;AGEO4;
5;402,38565181356927;402,38565181356927;402,38565181356927;402,38565181356927;
50;10,17794887773883;5,026477700973254;6,674133878236514;9,915653007095123;
100;8,578365329036727;2,0187396020768777;3,604265322315611;2,8826654657546613;
500;1,4960434971205712;0,6369188340178986;0,8314566217959698;0,6637802438446521;
1000;1,0399859718429065;0,5039854102038356;0,5450798382950577;0,6464726770736943;
1500;0,5358993489077035;0,44747736509207064;0,38793603962671125;0,545355863921024;
2000;0,3454409334079933;0,443323736338465;0,28958803653691334;0,5056488635290635;
2500;0,23471460967738716;0,4111702945543926;0,2535899411895889;0,5040587264858228;
3000;0,1903458765246674;0,3771573822519063;0,17907484680399374;0,4213279657759017;
