




============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================













============================================================================
Função: griewangk
============================================================================
parameter;AGEO2real2_P_AA_p0;AGEO2real2_P_AA_p1;AGEO2real2_P_AA_p2;AGEO2real2_P_AA_p3;
5000;13,633313808467765;7,3284061532722236;20,82762943188824;14,599438352881563;
6000;10,00310393629445;3,721407149761951;20,804806787341178;10,26592039310605;
7000;6,883370077609134;2,0777470476503233;20,79569228725763;7,029775226959259;
8000;4,22077946938929;1,4445736712417423;20,79569228725763;4,7486319989656645;
9000;2,0295186345274034;1,2110112572376945;20,784675822274743;3,0671202633499517;
10000;1,036708470208934;1,0732665392687353;20,784675822274743;2,2375827453277606;
12000;0,32302128606716196;0,9696017163772572;20,784675822274743;0,9592943689410032;
14000;0,24765604758429788;0,9441474236443474;20,78448968780146;0,24821755035399135;
16000;0,22125503182884593;0,9169571759074435;20,780030957485472;0,03330426472121346;
18000;0,20480045240405695;0,888949995835287;20,774329253503115;0,0020985478067017736;
20000;0,1901339733085287;0,8807263198876736;20,774329253503115;0,00019571459214375863;
25000;0,17017926429360655;0,806992861370496;20,774329253503115;2,661766419080891E-06;
30000;0,15806651008208647;0,7929052655764894;20,774329253503115;6,007318359735336E-07;
35000;0,15148110015987926;0,7818426009221779;20,774329253503115;5,533187385964311E-07;
40000;0,14770753711639756;0,7665738431571938;20,774329253503115;5,30558745452936E-07;
45000;0,1428513250647702;0,7480886828771807;20,774329253503115;5,161107495865735E-07;
50000;0,13870913727418113;0,7311185532383433;20,774329253503115;5,047130528623712E-07;
55000;0,13815271801004939;0,7258018355116954;20,774329253503115;4,97731017006231E-07;
60000;0,1355898848274073;0,7153394646947805;20,774329253503115;4,942285721654116E-07;
65000;0,1353147415635692;0,7051595715439453;20,774329253503115;4,825672761654687E-07;
70000;0,1333574117717167;0,6933396255770177;20,774329253503115;4,7340600687562075E-07;
75000;0,13257713156303694;0,688188898161284;20,774329253503115;4,692478176338E-07;
80000;0,13171135488157965;0,6875542962208679;20,774329253503115;4,692478176338E-07;
85000;0,13069124349680508;0,6814593730839107;20,774329253503115;4,6067504641200683E-07;
90000;0,1289399315483415;0,6750043034700891;20,774329253503115;4,564072723667323E-07;
95000;0,12744949907568695;0,6694627974762628;20,774329253503115;4,5512669515801463E-07;
100000;0,12733577139982905;0,6667083986009459;20,774329253503115;4,5393503192769915E-07;











============================================================================
Função: beale
============================================================================
parameter;AGEO2real2_P_AA_p0;AGEO2real2_P_AA_p1;AGEO2real2_P_AA_p2;AGEO2real2_P_AA_p3;
meanNFE;100020;100020;100020;100008;
meanFX;0,030469681327070806;0,007239016427689885;0,021868458606166753;3,6288167789951926E-10;
melhorFX;1,8347018304026932E-09;2,2381452317006146E-07;7,08431809284498E-05;4,929688032680218E-12;
piorFX;0,7616454922757255;0,3616945783630672;0,21686735093823398;7,036683830514434E-09;
medianFX;1,9406694395710473E-06;3,193830851593918E-06;0,0073698033050185454;1,052850048630209E-10;
sdFX;0,15076465616163412;0,051150598625949006;0,04120122569100932;1,061772290747005E-09;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2real2_P_AA_p0;AGEO2real2_P_AA_p1;AGEO2real2_P_AA_p2;AGEO2real2_P_AA_p3;
5;8572,426705512637;8352,998271726656;4135,555966593856;4094,2670145953307;
50;1548,8244654745838;2428,525766574524;3007,620206058552;621,2748163307959;
100;346,78657552164753;779,980287944529;3007,5651019880456;70,9340554421624;
500;1,0813738398435813;1,5107335164739752;572,5042945338963;2,0964022699070255;
1000;0,44645241538336433;0,8391143989262569;66,22454937190025;1,0128266226020834;
1500;0,38272398166760796;0,6164572229595386;29,80551721557486;0,8137773316053858;
2000;0,34303522415954574;0,37453287572638777;19,866515548372334;0,7676971449466076;
2500;0,3189159059914196;0,3329943123279733;5,194275038239489;0,7487964810453284;
3000;0,3021647379631686;0,315645181569492;4,687741617128589;0,7168747836904141;
3500;0,29598161831781655;0,28148646268943023;4,184580599487408;0,6956168348469948;
4000;0,2877634948509446;0,24475232823104118;3,9522604420533862;0,678945353501599;
