


============================================================================
============================================================================
TUNING GEO REAL2 P DS
============================================================================
============================================================================



============================================================================
Função: Griewangk
============================================================================
P =  5;   s =  2;   porc = 10,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 5,251711986940350E-01  -->  sd:1,004432969966630E-01
P =  5;   s =  2;   porc = 10,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 5,443177582544860E-01  -->  sd:1,092125936879330E-01
P =  5;   s =  2;   porc = 10,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 5,481206135367670E-01  -->  sd:7,470199331767920E-02
P =  5;   s =  2;   porc = 10,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 5,616231990511350E-01  -->  sd:8,140079650437970E-02
P = 10;   s = 10;   porc = 50,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 5,714456025063060E-01  -->  sd:2,169194172375680E-01
P =  5;   s =  2;   porc = 10,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 6,228591289266060E-01  -->  sd:7,587417786670340E-02
P =  5;   s =  2;   porc = 10,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 6,531150377541370E-01  -->  sd:9,989200088200020E-02
P = 10;   s =  2;   porc =  1,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 6,703515426094400E-01  -->  sd:1,218113750668750E-01
P =  5;   s = 10;   porc = 50,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 7,938997151169760E-01  -->  sd:1,482971691812530E-01
P =  5;   s = 10;   porc = 10,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 7,958961963751760E-01  -->  sd:1,453099752782000E-01
P =  5;   s =  2;   porc = 10,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 8,037231952254820E-01  -->  sd:1,169338175378210E-01
P = 10;   s =  2;   porc = 10,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 8,102716623140310E-01  -->  sd:1,765258794691670E-01
P = 10;   s =  2;   porc = 50,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 8,235399829248400E-01  -->  sd:1,084872083234760E-01
P =  5;   s =  2;   porc =  1,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 8,442308751472360E-01  -->  sd:1,144705642900170E-01
P = 10;   s = 10;   porc = 10,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 9,373694974527210E-01  -->  sd:1,522996582808220E-01
P =  5;   s = 10;   porc =  1,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 9,894802341532530E-01  -->  sd:1,077260818165870E-01
P =  5;   s =  2;   porc = 10,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 1,001191117748130E+00  -->  sd:7,968100132700500E-02
P =  5;   s =  2;   porc = 50,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 1,093401952434110E+00  -->  sd:6,902618335977460E-02
P =  5;   s =  2;   porc = 50,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 1,100903594022650E+00  -->  sd:7,829705601668210E-02
P =  5;   s =  2;   porc = 50,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 1,142038807998570E+00  -->  sd:5,334360154918690E-02
P =  5;   s =  2;   porc = 50,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 1,170679771521550E+00  -->  sd:5,910534725385790E-02
P =  5;   s =  2;   porc = 50,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 1,204244153769680E+00  -->  sd:6,264171088830210E-02
P =  5;   s =  2;   porc = 50,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 1,281309200626230E+00  -->  sd:1,240832086072860E-01
P =  5;   s = 10;   porc = 10,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 1,283358479991710E+00  -->  sd:1,525435623304550E-01
P =  5;   s =  2;   porc = 10,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 1,310846523129830E+00  -->  sd:1,503484545146170E-01
P = 10;   s = 10;   porc =  1,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 1,339984606614380E+00  -->  sd:9,171272417261900E-01
P = 10;   s =  2;   porc = 50,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 1,360659573835560E+00  -->  sd:2,177289889511470E-01
P =  5;   s = 10;   porc = 50,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 1,401382686358420E+00  -->  sd:2,008826451672280E-01
P =  5;   s =  2;   porc = 50,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 1,553909211592430E+00  -->  sd:1,839123968652540E-01
