


============================================================================
============================================================================
TUNING GEO REAL2 P VO
============================================================================
============================================================================










============================================================================
Função: Griewangk
============================================================================
P =  5;   s =  1;   porc = 10,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 5,840488972844460E-01  -->  sd:8,610234018780770E-02
P =  5;   s =  2;   porc = 50,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 5,887132143303410E-01  -->  sd:1,013859298156510E-01
P =  5;   s =  1;   porc = 10,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 5,944356509848580E-01  -->  sd:6,516989595995810E-02
P = 10;   s =  4;   porc = 50,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 5,986668890564050E-01  -->  sd:1,732955653483960E-01
P =  5;   s =  1;   porc =  1,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 6,003984639550800E-01  -->  sd:9,234364982057140E-02
P =  5;   s =  1;   porc = 10,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 6,388203569142320E-01  -->  sd:8,634852207326560E-02
P =  5;   s =  1;   porc = 10,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 6,473147109128500E-01  -->  sd:1,031660558769460E-01
P = 10;   s =  2;   porc = 50,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 6,523276978049170E-01  -->  sd:2,312385572435250E-01
P =  5;   s =  2;   porc = 50,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 6,854613311857690E-01  -->  sd:1,221401031128700E-01
P =  5;   s =  1;   porc = 10,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 7,530669443239410E-01  -->  sd:1,060569119787580E-01
P = 10;   s =  1;   porc =  1,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 7,552763686591050E-01  -->  sd:1,686485307112660E-01
P = 10;   s =  2;   porc =  1,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 7,648847123589560E-01  -->  sd:2,053581748967730E-01
P =  5;   s =  4;   porc = 10,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 8,560564109171610E-01  -->  sd:1,177541911379780E-01
P =  5;   s =  2;   porc = 50,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 8,682876495104730E-01  -->  sd:9,378314040407970E-02
P = 10;   s =  1;   porc = 50,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 8,823196882025870E-01  -->  sd:1,502663772690000E-01
P =  5;   s =  2;   porc =  1,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 8,903093312301260E-01  -->  sd:1,065474826267970E-01
