


============================================================================
============================================================================
TUNING GEO REAL2 N VO
============================================================================
============================================================================



============================================================================
Função: Griewangk
============================================================================
P = 10;   s =  2;   std1 =  2,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 3,565647797252720E+01  -->  sd:1,540711731357030E+01
P = 10;   s =  4;   std1 =  2,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 3,628204270768830E+01  -->  sd:1,598490509103300E+01
P = 10;   s =  2;   std1 =  2,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 3,752503989258150E+01  -->  sd:1,634805456992790E+01
P =  5;   s =  1;   std1 =  1,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 3,754907716686610E+01  -->  sd:1,075018275825620E+01
P =  5;   s =  1;   std1 =  0,50;   tau =  1,50  -->  NFE:  100000  -->  fx: 3,912514377484890E+01  -->  sd:1,219825143874300E+01
P =  5;   s =  4;   std1 =  1,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 3,967552823182820E+01  -->  sd:1,150293132521460E+01
P =  5;   s =  2;   std1 =  1,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 4,016763687310610E+01  -->  sd:1,732610001499930E+01
P = 10;   s =  4;   std1 =  2,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 4,018802590918170E+01  -->  sd:1,465215755050090E+01
P = 10;   s =  2;   std1 =  2,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 4,034964882168790E+01  -->  sd:1,889649253106090E+01
P = 10;   s =  1;   std1 =  1,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 4,129816047238350E+01  -->  sd:1,388971417532520E+01
P = 10;   s =  4;   std1 =  2,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 4,138155860898970E+01  -->  sd:1,859835382474310E+01
P = 10;   s =  4;   std1 =  2,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 4,217556564824920E+01  -->  sd:1,642307021715870E+01
P = 10;   s =  2;   std1 =  2,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 4,220055525626170E+01  -->  sd:9,912956749540890E+00
P = 10;   s =  4;   std1 =  2,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 4,272412529630740E+01  -->  sd:1,687196096525570E+01
P =  5;   s =  2;   std1 =  1,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 4,394358964080970E+01  -->  sd:1,298342869553530E+01
P =  5;   s =  1;   std1 =  1,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 4,413830182927310E+01  -->  sd:1,498116577292260E+01
