


============================================================================
============================================================================
TUNING GEO REAL2 O DS
============================================================================
============================================================================



============================================================================
Função: Griewangk
============================================================================
P =  5;   s =  2;   std1 = 10,00;   tau =  1,50  -->  NFE:   93343  -->  fx: 1,376264349335940E-01  -->  sd:1,197273986100520E-01
P = 10;   s = 10;   std1 =  0,50;   tau =  3,50  -->  NFE:   93383  -->  fx: 3,049955592025640E-02  -->  sd:2,056489363474940E-02
P = 10;   s = 10;   std1 = 10,00;   tau =  5,00  -->  NFE:   93816  -->  fx: 3,524866358393210E-02  -->  sd:2,302575785193000E-02
P = 10;   s = 10;   std1 =  2,00;   tau =  5,00  -->  NFE:   94230  -->  fx: 3,599439525819150E-02  -->  sd:2,019371626097850E-02
P = 10;   s = 10;   std1 =  2,00;   tau =  4,00  -->  NFE:   94353  -->  fx: 3,459356213158340E-02  -->  sd:2,625209704069370E-02
P =  5;   s = 10;   std1 = 10,00;   tau =  1,50  -->  NFE:   95158  -->  fx: 7,648294381619490E-02  -->  sd:5,649038376659850E-02
P = 10;   s = 10;   std1 =  2,00;   tau =  3,50  -->  NFE:   95393  -->  fx: 3,115328231625700E-02  -->  sd:2,031708274762450E-02
P =  5;   s = 10;   std1 =  2,00;   tau =  0,50  -->  NFE:   98406  -->  fx: 2,321370011638130E-01  -->  sd:1,873784818248040E-01
P = 10;   s = 10;   std1 =  2,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 6,220558062778740E-02  -->  sd:9,690407940073720E-02
P = 10;   s = 10;   std1 = 10,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 1,614454450550610E-01  -->  sd:1,123567480701440E-01
P =  5;   s = 10;   std1 = 10,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 5,408947479788390E+01  -->  sd:9,269188540972860E+01
P =  5;   s =  2;   std1 = 10,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 1,827769421381980E+02  -->  sd:1,166316343357500E+02
P = 10;   s = 10;   std1 = 10,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 2,086519830479930E+02  -->  sd:9,903762298254820E+01
P = 10;   s =  2;   std1 = 10,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 2,113571455764470E+02  -->  sd:9,851260490714310E+01
P =  5;   s =  2;   std1 = 10,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 2,517476981426220E+02  -->  sd:8,911474917956190E+01
P =  5;   s = 10;   std1 = 10,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 2,545978656654700E+02  -->  sd:7,857877236936110E+01





============================================================================
Função: Rastringin
============================================================================
P =  5;   s =  2;   std1 =  2,00;   tau =  5,00  -->  NFE:    4110  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  2;   std1 =  2,00;   tau =  4,50  -->  NFE:    4120  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
