




============================================================================
Função: Griewangk
============================================================================
P = 16;   s =  2;   std1 = 10,00;   tau =  0,50  -->  NFE:  100143  -->  fx: 6,452767140319690E+00  -->  sd:5,982746131782100E+00
P =  4;   s =  2;   std1 =  1,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 8,128501662114220E+00  -->  sd:4,386106214571820E+00
P =  4;   s = 10;   std1 =  1,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 8,150340434374260E+00  -->  sd:3,264558533882270E+00
P =  4;   s = 10;   std1 =  1,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 1,260705307140050E+01  -->  sd:4,305363423715650E+00
P =  4;   s =  2;   std1 =  1,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 1,750604147451260E+01  -->  sd:6,546326703056810E+00
P =  4;   s = 10;   std1 =  1,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 1,995031845691820E+01  -->  sd:6,278359350556350E+00
P = 16;   s = 10;   std1 =  5,00;   tau =  1,00  -->  NFE:  100143  -->  fx: 2,062762014482940E+01  -->  sd:8,925092400268160E+00
P =  8;   s = 10;   std1 =  5,00;   tau =  0,50  -->  NFE:  100036  -->  fx: 2,101859353278010E+01  -->  sd:1,213182186901420E+01
P =  4;   s = 10;   std1 =  1,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 2,201567825421360E+01  -->  sd:8,375946033134530E+00
P =  4;   s =  2;   std1 =  1,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 2,492722231916530E+01  -->  sd:1,019361905005870E+01
P =  4;   s = 10;   std1 =  1,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 2,562172481740320E+01  -->  sd:9,567075844676370E+00
P =  4;   s =  2;   std1 =  1,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 3,009761848521880E+01  -->  sd:1,011722371885650E+01
P =  4;   s = 10;   std1 =  1,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 3,488205276042030E+01  -->  sd:1,069136209718180E+01
P =  4;   s = 10;   std1 =  1,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 4,097337986232040E+01  -->  sd:1,049751721564420E+01
P =  8;   s =  2;   std1 =  1,00;   tau =  1,50  -->  NFE:  100036  -->  fx: 4,197937658971410E+01  -->  sd:1,017294651223620E+01
P =  4;   s =  2;   std1 =  1,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 4,232164461658840E+01  -->  sd:1,130737590231610E+01
P = 16;   s = 10;   std1 = 10,00;   tau =  0,50  -->  NFE:  100143  -->  fx: 4,246346265591610E+01  -->  sd:1,718194394800980E+01
P =  8;   s =  2;   std1 =  1,00;   tau =  2,00  -->  NFE:  100036  -->  fx: 4,562918625922970E+01  -->  sd:1,467526652301200E+01
P =  4;   s =  2;   std1 =  1,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 4,636582021347600E+01  -->  sd:1,494874714322820E+01
P =  4;   s = 10;   std1 =  1,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 4,864129105228450E+01  -->  sd:1,324868690293180E+01
P =  8;   s =  2;   std1 =  1,00;   tau =  2,50  -->  NFE:  100036  -->  fx: 5,010553735115700E+01  -->  sd:1,510344356253240E+01
P =  4;   s =  2;   std1 =  1,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 5,248716790131020E+01  -->  sd:1,604491621985140E+01
P =  4;   s = 10;   std1 =  1,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 5,284273194878670E+01  -->  sd:1,602246605618490E+01
P =  8;   s = 10;   std1 =  1,00;   tau =  2,50  -->  NFE:  100036  -->  fx: 5,303474530691220E+01  -->  sd:1,476746592990510E+01
P =  8;   s = 10;   std1 =  1,00;   tau =  2,00  -->  NFE:  100036  -->  fx: 5,388780892372150E+01  -->  sd:1,362582786036820E+01
P =  8;   s = 10;   std1 =  1,00;   tau =  3,00  -->  NFE:  100036  -->  fx: 5,822981715827020E+01  -->  sd:1,515679488469500E+01
P =  8;   s =  2;   std1 =  1,00;   tau =  3,00  -->  NFE:  100036  -->  fx: 6,104708912722360E+01  -->  sd:1,674546773456060E+01
P =  8;   s = 10;   std1 =  1,00;   tau =  4,00  -->  NFE:  100036  -->  fx: 6,303293465927340E+01  -->  sd:1,531984669700710E+01
P =  4;   s =  2;   std1 =  1,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 6,309989142975970E+01  -->  sd:2,262277887738140E+01
P =  8;   s = 10;   std1 =  1,00;   tau =  3,50  -->  NFE:  100036  -->  fx: 6,342769192837790E+01  -->  sd:1,708541508515790E+01
P =  8;   s = 10;   std1 =  1,00;   tau =  4,50  -->  NFE:  100036  -->  fx: 6,379867366228540E+01  -->  sd:1,744124929943600E+01
P =  8;   s =  2;   std1 =  1,00;   tau =  4,00  -->  NFE:  100036  -->  fx: 6,394090506826640E+01  -->  sd:1,598450182311260E+01
P =  8;   s =  2;   std1 =  1,00;   tau =  3,50  -->  NFE:  100036  -->  fx: 6,458193901426510E+01  -->  sd:1,784307834941630E+01
P =  8;   s = 10;   std1 =  1,00;   tau =  5,00  -->  NFE:  100036  -->  fx: 6,462466323841950E+01  -->  sd:1,596389710417900E+01
P =  8;   s =  2;   std1 =  1,00;   tau =  1,00  -->  NFE:  100036  -->  fx: 6,589700552429830E+01  -->  sd:1,890533027513580E+01
P =  8;   s = 10;   std1 =  1,00;   tau =  1,50  -->  NFE:  100036  -->  fx: 6,724311802162040E+01  -->  sd:1,707605387171730E+01
P = 16;   s =  2;   std1 =  1,00;   tau =  4,00  -->  NFE:  100143  -->  fx: 6,871113378662570E+01  -->  sd:1,858874566008790E+01
P = 16;   s =  2;   std1 =  1,00;   tau =  5,00  -->  NFE:  100143  -->  fx: 6,895167306358300E+01  -->  sd:1,584714285635810E+01
P = 16;   s =  2;   std1 =  1,00;   tau =  4,50  -->  NFE:  100143  -->  fx: 6,996712689275050E+01  -->  sd:1,990991946577030E+01
P =  8;   s =  2;   std1 =  1,00;   tau =  4,50  -->  NFE:  100036  -->  fx: 7,023197262070220E+01  -->  sd:1,910230155782400E+01
P = 16;   s =  2;   std1 =  5,00;   tau =  0,50  -->  NFE:  100143  -->  fx: 7,037240384368040E+01  -->  sd:2,314751202727240E+01
P = 16;   s =  2;   std1 =  1,00;   tau =  3,00  -->  NFE:  100143  -->  fx: 7,063441535532400E+01  -->  sd:1,800942391586270E+01
P = 16;   s =  2;   std1 =  1,00;   tau =  3,50  -->  NFE:  100143  -->  fx: 7,123183162223460E+01  -->  sd:1,601854653152240E+01
P =  8;   s =  2;   std1 =  1,00;   tau =  5,00  -->  NFE:  100036  -->  fx: 7,149577506665960E+01  -->  sd:2,032321280385850E+01
P = 16;   s =  2;   std1 =  1,00;   tau =  2,50  -->  NFE:  100143  -->  fx: 7,167046340350290E+01  -->  sd:1,778802342255370E+01
P = 16;   s = 10;   std1 =  1,00;   tau =  4,50  -->  NFE:  100143  -->  fx: 8,008937078614870E+01  -->  sd:1,789169501985690E+01
P = 16;   s = 10;   std1 =  1,00;   tau =  4,00  -->  NFE:  100143  -->  fx: 8,116394729260270E+01  -->  sd:1,992555495012480E+01
P = 16;   s = 10;   std1 =  1,00;   tau =  5,00  -->  NFE:  100143  -->  fx: 8,128586526967830E+01  -->  sd:1,986299670912750E+01
P = 16;   s =  2;   std1 =  1,00;   tau =  2,00  -->  NFE:  100143  -->  fx: 8,266506552347460E+01  -->  sd:1,901387389092920E+01
P = 16;   s = 10;   std1 =  1,00;   tau =  3,50  -->  NFE:  100143  -->  fx: 8,727338714400090E+01  -->  sd:1,733635914097890E+01
