




============================================================================
Função: Griewangk
============================================================================
P =  8;   s =  1;   std1 =  2,00;   tau =  3,00  -->  NFE:   17178  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  1;   std1 =  8,00;   tau =  2,50  -->  NFE:   18304  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  2,00;   tau =  0,50  -->  NFE:   18341  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  2;   std1 =  8,00;   tau =  2,00  -->  NFE:   18969  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  2;   std1 =  1,00;   tau =  2,50  -->  NFE:   19866  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  1;   std1 =  1,00;   tau =  3,00  -->  NFE:   20146  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  2;   std1 =  2,00;   tau =  2,50  -->  NFE:   20557  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  2;   std1 =  4,00;   tau =  2,50  -->  NFE:   22385  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  2;   std1 =  8,00;   tau =  2,50  -->  NFE:   22715  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  2;   std1 =  1,00;   tau =  0,50  -->  NFE:   23109  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  1;   std1 =  8,00;   tau =  3,00  -->  NFE:   23812  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  1;   std1 =  8,00;   tau =  2,00  -->  NFE:   23858  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 16;   s =  1;   std1 =  1,00;   tau =  1,50  -->  NFE:   25157  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 16;   s =  1;   std1 =  1,00;   tau =  1,00  -->  NFE:   26842  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  2;   std1 =  8,00;   tau =  3,00  -->  NFE:   27743  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 16;   s =  1;   std1 =  4,00;   tau =  1,50  -->  NFE:   28469  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 16;   s =  1;   std1 =  2,00;   tau =  1,00  -->  NFE:   30924  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  1;   std1 =  2,00;   tau =  0,50  -->  NFE:   31427  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  1;   std1 =  2,00;   tau =  0,50  -->  NFE:   31700  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 16;   s =  2;   std1 =  2,00;   tau =  1,00  -->  NFE:   32776  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  2;   std1 =  2,00;   tau =  0,50  -->  NFE:   37081  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 16;   s =  2;   std1 =  2,00;   tau =  1,50  -->  NFE:   38158  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 16;   s =  2;   std1 =  1,00;   tau =  1,00  -->  NFE:   38474  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 16;   s =  2;   std1 =  4,00;   tau =  1,50  -->  NFE:   41044  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 16;   s =  1;   std1 =  8,00;   tau =  1,50  -->  NFE:   43488  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 16;   s =  1;   std1 =  1,00;   tau =  0,50  -->  NFE:   44034  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
