




============================================================================
Função: Griewangk
============================================================================
P =  4;   s =  2;   porc = 50,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 1,578867392679170E+00  -->  sd:1,710680412055630E-01
P =  4;   s =  2;   porc = 50,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 1,641237464591750E+00  -->  sd:1,797430441061090E-01
P =  4;   s = 10;   porc = 10,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 1,652858055010460E+00  -->  sd:2,896677586002580E-01
P =  4;   s =  2;   porc = 10,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 1,690040406429970E+00  -->  sd:2,329900464226360E-01
P =  4;   s =  2;   porc = 50,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 1,792053243988860E+00  -->  sd:1,907171136477290E-01
P = 12;   s =  2;   porc = 10,00;   tau =  0,50  -->  NFE:  100068  -->  fx: 2,002075184198610E+00  -->  sd:4,966877558427180E-01
P =  4;   s =  2;   porc = 50,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 2,111239156193110E+00  -->  sd:3,625907110127930E-01
P =  4;   s = 10;   porc = 50,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 2,359853781397860E+00  -->  sd:8,982827598845360E-01
P =  4;   s = 10;   porc =  0,10;   tau =  1,50  -->  NFE:  100000  -->  fx: 2,416987304368360E+00  -->  sd:1,863809835493520E+00
P =  4;   s =  2;   porc =  0,10;   tau =  2,00  -->  NFE:  100000  -->  fx: 2,554606507379610E+00  -->  sd:2,183096511385870E+00
P =  4;   s =  2;   porc = 50,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 3,055684764841690E+00  -->  sd:5,934306919076000E-01
P = 12;   s = 10;   porc = 10,00;   tau =  0,50  -->  NFE:  100068  -->  fx: 3,711143186247950E+00  -->  sd:1,439486072495960E+00
P =  4;   s = 10;   porc =  0,10;   tau =  2,00  -->  NFE:  100000  -->  fx: 4,555948996577940E+00  -->  sd:2,485412397888910E+00
P = 12;   s = 10;   porc =  1,00;   tau =  0,50  -->  NFE:  100068  -->  fx: 4,738692095337860E+00  -->  sd:5,166915120846010E+00
P =  4;   s =  2;   porc = 50,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 5,712715285319770E+00  -->  sd:1,326796001994180E+00
P =  4;   s =  2;   porc =  0,10;   tau =  2,50  -->  NFE:  100000  -->  fx: 6,774475603978950E+00  -->  sd:3,991480744103120E+00
P =  4;   s =  2;   porc = 10,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 7,937103064757390E+00  -->  sd:2,997142606792900E+00
P =  4;   s = 10;   porc = 10,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 8,456715238951930E+00  -->  sd:2,637967496040830E+00
P =  4;   s = 10;   porc =  0,10;   tau =  1,00  -->  NFE:  100000  -->  fx: 8,981864980819540E+00  -->  sd:5,095433111897370E+00
P =  4;   s = 10;   porc =  0,10;   tau =  2,50  -->  NFE:  100000  -->  fx: 9,206543807642720E+00  -->  sd:4,170822355902240E+00
P =  4;   s =  2;   porc =  0,10;   tau =  3,00  -->  NFE:  100000  -->  fx: 1,300093272404730E+01  -->  sd:6,046937797257480E+00
P =  4;   s = 10;   porc = 50,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 1,394127787915710E+01  -->  sd:7,049402065079000E+00
P =  4;   s = 10;   porc =  0,10;   tau =  3,00  -->  NFE:  100000  -->  fx: 1,656147255099540E+01  -->  sd:6,406914328731830E+00
P =  4;   s =  2;   porc = 50,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 2,072780058475690E+01  -->  sd:5,614790450121610E+00
P =  4;   s =  2;   porc =  0,10;   tau =  3,50  -->  NFE:  100000  -->  fx: 2,120983240228280E+01  -->  sd:7,483802908570760E+00
P =  4;   s = 10;   porc =  0,10;   tau =  3,50  -->  NFE:  100000  -->  fx: 2,295194332240350E+01  -->  sd:8,619540710701860E+00
P = 12;   s =  2;   porc = 50,00;   tau =  0,50  -->  NFE:  100068  -->  fx: 2,436652933720770E+01  -->  sd:9,789399207113640E+00
P =  4;   s =  2;   porc =  0,10;   tau =  4,00  -->  NFE:  100000  -->  fx: 2,905899209210800E+01  -->  sd:1,230071783100660E+01
P =  4;   s = 10;   porc =  0,10;   tau =  4,00  -->  NFE:  100000  -->  fx: 3,304199628735210E+01  -->  sd:1,392624511303680E+01
P =  4;   s =  2;   porc =  0,10;   tau =  4,50  -->  NFE:  100000  -->  fx: 3,688671533081170E+01  -->  sd:1,019236261360340E+01
P =  4;   s = 10;   porc =  0,10;   tau =  4,50  -->  NFE:  100000  -->  fx: 3,768751321085370E+01  -->  sd:1,508005614154380E+01
P =  4;   s =  2;   porc =  0,10;   tau =  0,50  -->  NFE:  100000  -->  fx: 3,856191450166100E+01  -->  sd:1,558114478911280E+01
P =  4;   s =  2;   porc =  0,10;   tau =  5,00  -->  NFE:  100000  -->  fx: 4,230370608981490E+01  -->  sd:1,071840540657530E+01
P = 12;   s = 10;   porc = 50,00;   tau =  0,50  -->  NFE:  100068  -->  fx: 4,326473485838910E+01  -->  sd:2,400533432272230E+01
P =  4;   s = 10;   porc =  0,10;   tau =  5,00  -->  NFE:  100000  -->  fx: 4,644688925962810E+01  -->  sd:1,710221461884910E+01
P = 12;   s =  2;   porc =  0,10;   tau =  2,00  -->  NFE:  100068  -->  fx: 5,208463570666010E+01  -->  sd:1,065920026332480E+01
P = 12;   s =  2;   porc =  0,10;   tau =  1,50  -->  NFE:  100068  -->  fx: 5,743036148017290E+01  -->  sd:1,271313441093130E+01
P = 12;   s = 10;   porc =  0,10;   tau =  4,00  -->  NFE:  100068  -->  fx: 5,817244962196150E+01  -->  sd:1,600190437440590E+01
P = 12;   s = 10;   porc =  0,10;   tau =  3,50  -->  NFE:  100068  -->  fx: 5,960600427952760E+01  -->  sd:1,943150477450540E+01
P = 12;   s =  2;   porc =  0,10;   tau =  2,50  -->  NFE:  100068  -->  fx: 6,027318905415390E+01  -->  sd:1,578208056197260E+01
P = 12;   s = 10;   porc =  0,10;   tau =  5,00  -->  NFE:  100068  -->  fx: 6,044890402439660E+01  -->  sd:1,934013260540690E+01
P = 12;   s = 10;   porc =  0,10;   tau =  3,00  -->  NFE:  100068  -->  fx: 6,063170361714930E+01  -->  sd:2,045540662539670E+01
P = 12;   s = 10;   porc =  0,10;   tau =  4,50  -->  NFE:  100068  -->  fx: 6,133775782916570E+01  -->  sd:1,727372721225010E+01
P = 12;   s =  2;   porc =  0,10;   tau =  3,00  -->  NFE:  100068  -->  fx: 6,154139273366570E+01  -->  sd:1,616702035427320E+01
P = 12;   s = 10;   porc =  0,10;   tau =  2,50  -->  NFE:  100068  -->  fx: 6,169448263687170E+01  -->  sd:1,568208637502670E+01
P = 12;   s =  2;   porc =  0,10;   tau =  4,00  -->  NFE:  100068  -->  fx: 6,200917018760980E+01  -->  sd:1,696022912808390E+01
P = 12;   s =  2;   porc =  0,10;   tau =  4,50  -->  NFE:  100068  -->  fx: 6,338343154490100E+01  -->  sd:1,603676433902380E+01
P = 12;   s =  2;   porc =  0,10;   tau =  3,50  -->  NFE:  100068  -->  fx: 6,475883159819150E+01  -->  sd:1,861699190391950E+01
P = 12;   s =  2;   porc =  0,10;   tau =  5,00  -->  NFE:  100068  -->  fx: 6,654946861177550E+01  -->  sd:1,409813137748710E+01
P = 12;   s = 10;   porc =  0,10;   tau =  2,00  -->  NFE:  100068  -->  fx: 6,829859868692960E+01  -->  sd:1,415605104679660E+01
P =  4;   s = 10;   porc =  0,10;   tau =  0,50  -->  NFE:  100000  -->  fx: 8,264703294514760E+01  -->  sd:2,692468503216290E+01
P = 12;   s = 10;   porc =  0,10;   tau =  1,50  -->  NFE:  100068  -->  fx: 9,580945675313780E+01  -->  sd:2,498626912802920E+01
P = 12;   s =  2;   porc =  0,10;   tau =  1,00  -->  NFE:  100068  -->  fx: 1,038723650713910E+02  -->  sd:2,722059094853520E+01
P =  4;   s =  2;   porc = 50,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 1,506383677484720E+02  -->  sd:5,695705781935880E+01
P = 12;   s = 10;   porc =  0,10;   tau =  1,00  -->  NFE:  100068  -->  fx: 1,563303880068790E+02  -->  sd:3,486685302945900E+01
P =  4;   s = 10;   porc = 50,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 1,704505483006910E+02  -->  sd:6,939351118466280E+01
P = 12;   s =  2;   porc =  0,10;   tau =  0,50  -->  NFE:  100068  -->  fx: 1,980500595643790E+02  -->  sd:4,094875881078030E+01
P = 12;   s = 10;   porc =  0,10;   tau =  0,50  -->  NFE:  100068  -->  fx: 2,339451472697070E+02  -->  sd:4,286041002668750E+01





============================================================================
Função: Rastringin
============================================================================
P = 12;   s = 10;   porc = 50,00;   tau =  5,00  -->  NFE:   34128  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 12;   s = 10;   porc = 10,00;   tau =  5,00  -->  NFE:   35092  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 12;   s = 10;   porc = 10,00;   tau =  4,50  -->  NFE:   35884  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 12;   s = 10;   porc = 10,00;   tau =  4,00  -->  NFE:   43578  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 12;   s = 10;   porc = 50,00;   tau =  4,50  -->  NFE:   49406  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 12;   s = 10;   porc = 50,00;   tau =  4,00  -->  NFE:   67231  -->  fx: 1,776356839400250E-15  -->  sd:3,133198957841180E-15
P = 12;   s = 10;   porc = 10,00;   tau =  3,50  -->  NFE:   74168  -->  fx: 3,552713678800500E-15  -->  sd:4,535285842907120E-15
