




=======================================================
Tuning: 1
=======================================================





============================================================================
Função: Griewangk
============================================================================
P = 12;   s =  2;   std1 =  1,00;   tau =  5,00  -->  NFE:  100068  -->  fx: 6,706519464290770E+01  -->  sd:1,503793488153450E+01
P =  4;   s =  2;   std1 =  0,50;   tau =  4,00  -->  NFE:  100000  -->  fx: 6,735703325088330E+01  -->  sd:1,715536517227420E+01
P =  4;   s =  2;   std1 =  1,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 6,854828759019710E+01  -->  sd:2,101292404226410E+01
P =  4;   s =  2;   std1 =  0,50;   tau =  4,50  -->  NFE:  100000  -->  fx: 6,863638394370610E+01  -->  sd:1,664482330131550E+01
P = 12;   s =  2;   std1 =  1,00;   tau =  3,50  -->  NFE:  100068  -->  fx: 6,875829267227710E+01  -->  sd:1,412741407915940E+01
P = 12;   s =  2;   std1 =  1,00;   tau =  4,50  -->  NFE:  100068  -->  fx: 6,975082415187130E+01  -->  sd:1,821599747136960E+01
P =  4;   s =  2;   std1 =  0,50;   tau =  5,00  -->  NFE:  100000  -->  fx: 7,073934888694600E+01  -->  sd:1,572264285941170E+01
P =  4;   s =  2;   std1 =  0,50;   tau =  1,00  -->  NFE:  100000  -->  fx: 7,305166528943380E+01  -->  sd:2,065746794446800E+01
P = 12;   s =  1;   std1 =  0,50;   tau =  4,50  -->  NFE:  100068  -->  fx: 7,463622973860940E+01  -->  sd:1,816556532551640E+01
P = 12;   s =  1;   std1 =  0,50;   tau =  4,00  -->  NFE:  100068  -->  fx: 7,665645775640830E+01  -->  sd:1,842431803839080E+01
P = 12;   s =  1;   std1 =  0,50;   tau =  5,00  -->  NFE:  100068  -->  fx: 7,738302434126970E+01  -->  sd:1,742994929176190E+01
P = 12;   s =  1;   std1 =  0,50;   tau =  3,50  -->  NFE:  100068  -->  fx: 7,746240122236110E+01  -->  sd:1,855569505434590E+01
P = 12;   s =  1;   std1 =  0,50;   tau =  3,00  -->  NFE:  100068  -->  fx: 7,810075486630810E+01  -->  sd:1,632987831900180E+01
P = 12;   s =  1;   std1 =  0,50;   tau =  2,50  -->  NFE:  100068  -->  fx: 8,263474253261420E+01  -->  sd:1,665875493830550E+01
P = 12;   s =  2;   std1 =  1,00;   tau =  1,50  -->  NFE:  100068  -->  fx: 8,574194250511260E+01  -->  sd:2,157760791121990E+01
P = 12;   s =  1;   std1 =  1,00;   tau =  1,00  -->  NFE:  100068  -->  fx: 8,747440299033070E+01  -->  sd:2,411324067016210E+01
P = 12;   s =  1;   std1 =  0,50;   tau =  2,00  -->  NFE:  100068  -->  fx: 9,348348257727710E+01  -->  sd:2,045794533917440E+01
P = 12;   s =  2;   std1 =  0,50;   tau =  5,00  -->  NFE:  100068  -->  fx: 9,553644083296910E+01  -->  sd:2,088042042594110E+01
P = 12;   s =  2;   std1 =  0,50;   tau =  4,50  -->  NFE:  100068  -->  fx: 9,701584813366630E+01  -->  sd:2,205463820202120E+01
P = 12;   s =  2;   std1 =  0,50;   tau =  4,00  -->  NFE:  100068  -->  fx: 9,853883938936790E+01  -->  sd:2,288081201462310E+01
P = 12;   s =  1;   std1 =  2,00;   tau =  0,50  -->  NFE:  100068  -->  fx: 1,018724727528680E+02  -->  sd:2,740001241185180E+01
P = 12;   s =  2;   std1 =  0,50;   tau =  3,50  -->  NFE:  100068  -->  fx: 1,040373998899350E+02  -->  sd:2,256988653654220E+01
P = 12;   s =  2;   std1 =  0,50;   tau =  3,00  -->  NFE:  100068  -->  fx: 1,088979910500350E+02  -->  sd:2,698655773410490E+01
P =  4;   s =  1;   std1 =  0,50;   tau =  0,50  -->  NFE:  100000  -->  fx: 1,127718843775140E+02  -->  sd:2,814463807937680E+01
P = 12;   s =  2;   std1 =  0,50;   tau =  2,50  -->  NFE:  100068  -->  fx: 1,204066929995160E+02  -->  sd:2,773916795769770E+01
P = 12;   s =  1;   std1 =  0,50;   tau =  1,50  -->  NFE:  100068  -->  fx: 1,209348819155240E+02  -->  sd:2,731602534877920E+01
P = 12;   s =  2;   std1 =  0,50;   tau =  2,00  -->  NFE:  100068  -->  fx: 1,388757741845860E+02  -->  sd:3,207351394146700E+01
