


============================================================================
============================================================================
TUNING GEO REAL2 N DS
============================================================================
============================================================================



============================================================================
Função: Griewangk
============================================================================
P = 10;   s = 10;   std1 =  2,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 3,555315532011870E+01  -->  sd:1,679721706312260E+01
P =  5;   s = 10;   std1 =  1,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 3,745764030740730E+01  -->  sd:1,198163497985840E+01
P = 10;   s =  2;   std1 =  2,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 3,833313920769730E+01  -->  sd:1,533832391656760E+01
P = 10;   s =  2;   std1 =  2,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 3,860162573833270E+01  -->  sd:1,442609119658520E+01
P =  5;   s =  2;   std1 =  1,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 3,866905334421730E+01  -->  sd:1,330595069366710E+01
P =  5;   s = 10;   std1 =  1,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 4,031555537075510E+01  -->  sd:1,811596323369510E+01
P = 10;   s =  2;   std1 =  2,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 4,046259039771330E+01  -->  sd:1,524611697818400E+01
P = 10;   s =  2;   std1 =  2,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 4,141643113692470E+01  -->  sd:1,466632809473310E+01
P =  5;   s = 10;   std1 =  1,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 4,404410432657220E+01  -->  sd:1,540177639448180E+01
P =  5;   s = 10;   std1 =  2,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 4,405697615503650E+01  -->  sd:2,318111382134200E+01
P =  5;   s =  2;   std1 =  1,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 4,777109999971400E+01  -->  sd:1,308922238203890E+01
P =  5;   s =  2;   std1 =  1,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 5,074169245459580E+01  -->  sd:1,423094760360850E+01
P =  5;   s = 10;   std1 =  1,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 5,196755091527640E+01  -->  sd:1,200177775413120E+01
P =  5;   s =  2;   std1 =  0,50;   tau =  2,00  -->  NFE:  100000  -->  fx: 5,357426972836650E+01  -->  sd:1,071987668492970E+01
P = 10;   s =  2;   std1 =  1,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 5,381933670329660E+01  -->  sd:1,312429558134570E+01
P = 10;   s = 10;   std1 =  2,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 5,401489157648920E+01  -->  sd:2,350818571761490E+01
P = 10;   s =  2;   std1 =  1,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 5,575222615241040E+01  -->  sd:1,143808860961020E+01
P =  5;   s =  2;   std1 =  0,50;   tau =  1,50  -->  NFE:  100000  -->  fx: 5,904753671240410E+01  -->  sd:1,494406323583270E+01
P = 10;   s =  2;   std1 =  1,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 5,917012436078540E+01  -->  sd:1,696818659208500E+01
P = 10;   s =  2;   std1 =  1,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 5,961599245514970E+01  -->  sd:1,139440736057030E+01
P =  5;   s = 10;   std1 =  1,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 6,064704747931570E+01  -->  sd:1,525036422458630E+01
P =  5;   s = 10;   std1 =  1,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 6,065128852619740E+01  -->  sd:1,706163418103760E+01
P =  5;   s =  2;   std1 =  1,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 6,077120112255620E+01  -->  sd:1,393890308585970E+01
P = 10;   s = 10;   std1 =  1,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 6,134444203924200E+01  -->  sd:1,518212036703720E+01
P =  5;   s =  2;   std1 =  0,50;   tau =  2,50  -->  NFE:  100000  -->  fx: 6,147955575286190E+01  -->  sd:1,226187393367940E+01
P = 10;   s = 10;   std1 =  1,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 6,171214492303290E+01  -->  sd:1,345131739621800E+01
P = 10;   s = 10;   std1 =  1,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 6,201349760981850E+01  -->  sd:1,563897179750600E+01
P =  5;   s = 10;   std1 =  0,50;   tau =  3,50  -->  NFE:  100000  -->  fx: 6,279999987288080E+01  -->  sd:1,197854281442720E+01
P = 10;   s =  2;   std1 =  1,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 6,284421692582630E+01  -->  sd:1,509146611344620E+01
P =  5;   s =  2;   std1 =  1,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 6,311694453294410E+01  -->  sd:2,049162108453360E+01
P =  5;   s = 10;   std1 =  0,50;   tau =  2,50  -->  NFE:  100000  -->  fx: 6,489878310884940E+01  -->  sd:1,349622162003620E+01
P = 10;   s = 10;   std1 =  1,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 6,529099937376680E+01  -->  sd:1,774728234525880E+01
P = 10;   s = 10;   std1 =  1,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 6,545109186852290E+01  -->  sd:1,352417751304970E+01
P =  5;   s =  2;   std1 =  0,50;   tau =  3,50  -->  NFE:  100000  -->  fx: 6,594402088479620E+01  -->  sd:1,407912118106860E+01
P = 10;   s = 10;   std1 =  1,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 6,596328347492220E+01  -->  sd:1,704448218466050E+01
P = 10;   s =  2;   std1 =  1,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 6,653414282597980E+01  -->  sd:1,381208448239520E+01
P =  5;   s = 10;   std1 =  0,50;   tau =  3,00  -->  NFE:  100000  -->  fx: 6,660287372821930E+01  -->  sd:1,803777927493930E+01
P =  5;   s =  2;   std1 =  0,50;   tau =  3,00  -->  NFE:  100000  -->  fx: 6,710166099107070E+01  -->  sd:1,425024466907860E+01
P = 10;   s =  2;   std1 =  1,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 6,731343038043310E+01  -->  sd:1,722183246042040E+01
P =  5;   s =  2;   std1 =  0,50;   tau =  4,50  -->  NFE:  100000  -->  fx: 6,824268719234050E+01  -->  sd:1,238319209733580E+01
P =  5;   s = 10;   std1 =  0,50;   tau =  5,00  -->  NFE:  100000  -->  fx: 6,865593782957120E+01  -->  sd:9,882322420274250E+00
P =  5;   s = 10;   std1 =  0,50;   tau =  2,00  -->  NFE:  100000  -->  fx: 6,957775252528580E+01  -->  sd:1,588569824666970E+01
P = 10;   s =  2;   std1 =  1,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 6,963843234411990E+01  -->  sd:1,694786921724280E+01
P =  5;   s =  2;   std1 =  0,50;   tau =  1,00  -->  NFE:  100000  -->  fx: 7,020216952257670E+01  -->  sd:2,948851170725840E+01
P =  5;   s =  2;   std1 =  0,50;   tau =  4,00  -->  NFE:  100000  -->  fx: 7,097297219695750E+01  -->  sd:1,237160244638760E+01
P = 10;   s = 10;   std1 =  1,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 7,407321083524950E+01  -->  sd:2,381495533906200E+01
P =  5;   s =  2;   std1 =  0,50;   tau =  5,00  -->  NFE:  100000  -->  fx: 7,548361832975440E+01  -->  sd:1,344680188663260E+01
P =  5;   s = 10;   std1 =  0,50;   tau =  4,00  -->  NFE:  100000  -->  fx: 7,593419369614440E+01  -->  sd:1,673369138294460E+01
P = 10;   s =  2;   std1 =  0,50;   tau =  5,00  -->  NFE:  100000  -->  fx: 7,599676702962340E+01  -->  sd:1,517381351426560E+01
P = 10;   s =  2;   std1 =  0,50;   tau =  4,00  -->  NFE:  100000  -->  fx: 7,676683252854260E+01  -->  sd:2,101957161216450E+01
P =  5;   s = 10;   std1 =  0,50;   tau =  4,50  -->  NFE:  100000  -->  fx: 7,697116129104330E+01  -->  sd:1,770513830013600E+01
P = 10;   s =  2;   std1 =  0,50;   tau =  4,50  -->  NFE:  100000  -->  fx: 8,063354807954480E+01  -->  sd:1,902653585859140E+01
P = 10;   s =  2;   std1 =  0,50;   tau =  3,50  -->  NFE:  100000  -->  fx: 8,291761294859720E+01  -->  sd:2,003709656844240E+01
P = 10;   s =  2;   std1 =  0,50;   tau =  3,00  -->  NFE:  100000  -->  fx: 8,588516592306080E+01  -->  sd:2,090589811152990E+01
P =  5;   s = 10;   std1 =  0,50;   tau =  1,50  -->  NFE:  100000  -->  fx: 8,731416269185680E+01  -->  sd:2,524251339097570E+01
P = 10;   s =  2;   std1 =  0,50;   tau =  2,50  -->  NFE:  100000  -->  fx: 8,801379584460710E+01  -->  sd:1,476174590893720E+01
P =  5;   s =  2;   std1 =  1,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 8,957931071660440E+01  -->  sd:3,681360144407910E+01
P = 10;   s = 10;   std1 =  1,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 9,054846646910660E+01  -->  sd:3,581201662991960E+01
P = 10;   s = 10;   std1 =  0,50;   tau =  5,00  -->  NFE:  100000  -->  fx: 1,014986459086280E+02  -->  sd:3,375809857234010E+01
P = 10;   s = 10;   std1 =  0,50;   tau =  4,50  -->  NFE:  100000  -->  fx: 1,017095701183040E+02  -->  sd:3,292786698471780E+01
P = 10;   s =  2;   std1 =  1,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 1,024619791851750E+02  -->  sd:3,488445313032440E+01
P = 10;   s =  2;   std1 =  0,50;   tau =  2,00  -->  NFE:  100000  -->  fx: 1,040714586085040E+02  -->  sd:2,824105804433790E+01
P = 10;   s =  2;   std1 =  2,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 1,057434400670750E+02  -->  sd:5,170649735192160E+01
P = 10;   s = 10;   std1 =  0,50;   tau =  3,50  -->  NFE:  100000  -->  fx: 1,102349925965630E+02  -->  sd:3,751765320150900E+01
P = 10;   s = 10;   std1 =  0,50;   tau =  3,00  -->  NFE:  100000  -->  fx: 1,114757691611470E+02  -->  sd:4,564391017736790E+01
P = 10;   s = 10;   std1 =  0,50;   tau =  4,00  -->  NFE:  100000  -->  fx: 1,156507260252480E+02  -->  sd:3,863923433426380E+01
P = 10;   s =  2;   std1 =  0,50;   tau =  1,50  -->  NFE:  100000  -->  fx: 1,331869404430910E+02  -->  sd:4,836899815534770E+01
P =  5;   s = 10;   std1 =  1,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 1,334310338509640E+02  -->  sd:4,678879051655420E+01
P = 10;   s = 10;   std1 =  0,50;   tau =  2,00  -->  NFE:  100000  -->  fx: 1,367885921286390E+02  -->  sd:4,607933620972630E+01
P = 10;   s = 10;   std1 =  0,50;   tau =  2,50  -->  NFE:  100000  -->  fx: 1,389521985410390E+02  -->  sd:3,864989660269820E+01
P =  5;   s = 10;   std1 =  0,50;   tau =  1,00  -->  NFE:  100000  -->  fx: 1,399539479292980E+02  -->  sd:4,124965702090300E+01
P = 10;   s = 10;   std1 =  1,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 1,429791424476730E+02  -->  sd:6,253545287292260E+01
P = 10;   s = 10;   std1 =  2,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 1,758809409468570E+02  -->  sd:5,415019588984620E+01
P = 10;   s = 10;   std1 =  0,50;   tau =  1,50  -->  NFE:  100000  -->  fx: 1,800738099123600E+02  -->  sd:6,153105259690790E+01
P = 10;   s =  2;   std1 =  1,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 1,807217307847650E+02  -->  sd:5,329118207294170E+01
P = 10;   s =  2;   std1 =  0,50;   tau =  1,00  -->  NFE:  100000  -->  fx: 1,916730726281760E+02  -->  sd:5,811846435561590E+01
P =  5;   s =  2;   std1 =  0,50;   tau =  0,50  -->  NFE:  100000  -->  fx: 1,953618795165560E+02  -->  sd:6,262788976338910E+01
P = 10;   s = 10;   std1 =  0,50;   tau =  1,00  -->  NFE:  100000  -->  fx: 2,023694237790850E+02  -->  sd:7,184002205399410E+01
P =  5;   s = 10;   std1 =  0,50;   tau =  0,50  -->  NFE:  100000  -->  fx: 2,101808195892710E+02  -->  sd:6,417149354099520E+01
P = 10;   s = 10;   std1 =  1,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 2,182595485433880E+02  -->  sd:6,278164376913740E+01
P = 10;   s =  2;   std1 =  0,50;   tau =  0,50  -->  NFE:  100000  -->  fx: 2,222629921630880E+02  -->  sd:7,759686997690690E+01
P = 10;   s = 10;   std1 =  0,50;   tau =  0,50  -->  NFE:  100000  -->  fx: 2,675168147164250E+02  -->  sd:8,104772201120150E+01





============================================================================
Função: Rastringin
============================================================================
P = 10;   s = 10;   std1 =  1,00;   tau =  5,00  -->  NFE:   63000  -->  fx: 1,657933050106900E-15  -->  sd:3,056634534119070E-15
P = 10;   s = 10;   std1 =  0,50;   tau =  5,00  -->  NFE:   67960  -->  fx: 1,657933050106900E-15  -->  sd:3,056634534119070E-15
P = 10;   s = 10;   std1 =  0,50;   tau =  4,50  -->  NFE:   68573  -->  fx: 2,368475785867000E-15  -->  sd:3,406791659339940E-15
P = 10;   s = 10;   std1 =  1,00;   tau =  4,50  -->  NFE:   79633  -->  fx: 4,500103993147300E-15  -->  sd:4,751222600840580E-15
P = 10;   s = 10;   std1 =  2,00;   tau =  5,00  -->  NFE:   89986  -->  fx: 7,815970093361100E-15  -->  sd:5,058827517259000E-15
P = 10;   s = 10;   std1 =  0,50;   tau =  4,00  -->  NFE:   94166  -->  fx: 1,113183619357490E-14  -->  sd:6,099013466088190E-15
P = 10;   s = 10;   std1 =  1,00;   tau =  4,00  -->  NFE:   96660  -->  fx: 1,586878776530890E-14  -->  sd:1,274932323259260E-14
P = 10;   s = 10;   std1 =  2,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 1,539509260813550E-14  -->  sd:5,305196162217700E-15
P = 10;   s = 10;   std1 =  2,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 4,121147867408580E-14  -->  sd:2,030402099704550E-14
P = 10;   s = 10;   std1 =  1,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 1,752672081541580E-13  -->  sd:1,851678236720940E-13
P = 10;   s = 10;   std1 = 10,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 1,849779588762130E-13  -->  sd:4,980736396630650E-14
P = 10;   s = 10;   std1 =  0,50;   tau =  3,50  -->  NFE:  100000  -->  fx: 2,027415272702150E-13  -->  sd:5,558222093734080E-13
P = 10;   s = 10;   std1 = 10,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 2,870592652470800E-13  -->  sd:7,352516259525600E-14
P = 10;   s = 10;   std1 = 10,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 7,280694565755160E-13  -->  sd:5,681852399574520E-13
P = 10;   s = 10;   std1 =  2,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 1,409006245012280E-12  -->  sd:1,715198125615780E-12
P = 10;   s = 10;   std1 = 10,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 1,712171145603250E-11  -->  sd:2,317827729312890E-11
P = 10;   s = 10;   std1 =  1,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 3,655199994530750E-10  -->  sd:9,458845961792810E-10
P = 10;   s = 10;   std1 =  0,50;   tau =  3,00  -->  NFE:  100000  -->  fx: 3,753150679131070E-10  -->  sd:8,529671349317080E-10
P = 10;   s = 10;   std1 =  2,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 6,726670183828290E-10  -->  sd:1,226271080977150E-09
P = 10;   s = 10;   std1 = 10,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 3,603001156686030E-08  -->  sd:6,204223199070020E-08
