




============================================================================
Função: Griewangk
============================================================================
P =  4;   s = 10;   porc = 50,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 2,679316096142810E-01  -->  sd:5,746374445360510E-02
P =  4;   s =  2;   porc =  1,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 3,025185412458540E-01  -->  sd:6,289420038559230E-02
P =  4;   s = 10;   porc = 50,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 3,072899246981260E-01  -->  sd:6,755788186299410E-02
P = 12;   s = 10;   porc = 50,00;   tau =  1,50  -->  NFE:  100068  -->  fx: 3,558436931822520E-01  -->  sd:2,052655342762300E-01
P =  4;   s = 10;   porc = 50,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 3,705876316535000E-01  -->  sd:1,168133420430040E-01
P =  4;   s =  2;   porc =  1,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 4,041262761862810E-01  -->  sd:7,128302826363790E-02
P =  4;   s = 10;   porc =  5,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 4,055445777206380E-01  -->  sd:1,268592477238400E-01
P = 12;   s =  2;   porc =  5,00;   tau =  1,00  -->  NFE:  100068  -->  fx: 4,283298579261390E-01  -->  sd:1,037366262667110E-01
P =  4;   s =  2;   porc =  0,10;   tau =  1,50  -->  NFE:  100000  -->  fx: 4,317711515702090E-01  -->  sd:5,570861290867360E-01
P = 12;   s =  2;   porc = 50,00;   tau =  1,50  -->  NFE:  100068  -->  fx: 4,992285334353970E-01  -->  sd:1,091591579220310E-01
P =  4;   s =  2;   porc =  5,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 5,213091757454750E-01  -->  sd:9,616097467978290E-02
P =  4;   s =  2;   porc =  5,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 5,298628636733840E-01  -->  sd:9,088538621544840E-02
P =  4;   s =  2;   porc =  5,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 5,315121497797060E-01  -->  sd:7,432226809021870E-02
P =  4;   s =  2;   porc =  5,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 5,696017604170360E-01  -->  sd:8,421201974953980E-02
P =  4;   s = 10;   porc = 50,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 5,696256946487710E-01  -->  sd:9,977750223597810E-02
P = 12;   s = 10;   porc =  5,00;   tau =  1,00  -->  NFE:  100068  -->  fx: 5,803825403774100E-01  -->  sd:2,259467959019670E-01
P =  4;   s =  2;   porc =  1,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 5,919041196840380E-01  -->  sd:7,063503112154290E-02
P =  4;   s = 10;   porc = 10,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 6,092286684195300E-01  -->  sd:1,229321059096740E-01
