




============================================================================
Função: Griewangk
============================================================================
P =  4;   s =  2;   std1 =  0,50;   tau =  4,50  -->  NFE:  100000  -->  fx: 6,851579941422810E+01  -->  sd:1,379380318482020E+01
P = 12;   s =  2;   std1 =  1,00;   tau =  4,50  -->  NFE:  100068  -->  fx: 6,867453823661920E+01  -->  sd:1,655463402220210E+01
P =  4;   s =  2;   std1 =  1,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 6,888631210827610E+01  -->  sd:2,242307763108400E+01
P = 12;   s =  2;   std1 =  1,00;   tau =  5,00  -->  NFE:  100068  -->  fx: 6,915343586335230E+01  -->  sd:1,644046428918220E+01
P = 12;   s =  2;   std1 =  1,00;   tau =  3,50  -->  NFE:  100068  -->  fx: 6,947520886036450E+01  -->  sd:1,670663399490730E+01
P =  4;   s =  2;   std1 =  0,50;   tau =  1,00  -->  NFE:  100000  -->  fx: 7,184239956900600E+01  -->  sd:1,981041709853570E+01
P =  4;   s =  2;   std1 =  0,50;   tau =  5,00  -->  NFE:  100000  -->  fx: 7,266773428916520E+01  -->  sd:1,693772857792630E+01
P = 12;   s =  1;   std1 =  0,50;   tau =  5,00  -->  NFE:  100068  -->  fx: 7,368189904762070E+01  -->  sd:1,551506944186640E+01
P = 12;   s =  1;   std1 =  0,50;   tau =  4,00  -->  NFE:  100068  -->  fx: 7,554010505720230E+01  -->  sd:1,870658409077780E+01
P = 12;   s =  1;   std1 =  0,50;   tau =  4,50  -->  NFE:  100068  -->  fx: 7,695131199124390E+01  -->  sd:1,983328849643680E+01
P = 12;   s =  1;   std1 =  0,50;   tau =  3,00  -->  NFE:  100068  -->  fx: 7,756518716175640E+01  -->  sd:1,796458296388570E+01
P = 12;   s =  1;   std1 =  0,50;   tau =  3,50  -->  NFE:  100068  -->  fx: 7,879634532936750E+01  -->  sd:1,700936533658990E+01
P = 12;   s =  1;   std1 =  0,50;   tau =  2,50  -->  NFE:  100068  -->  fx: 8,206316555103550E+01  -->  sd:1,768039002770510E+01
P = 12;   s =  2;   std1 =  1,00;   tau =  1,50  -->  NFE:  100068  -->  fx: 8,500477629629620E+01  -->  sd:2,181321666764210E+01
P = 12;   s =  1;   std1 =  1,00;   tau =  1,00  -->  NFE:  100068  -->  fx: 8,695812394720200E+01  -->  sd:2,392650987105450E+01
P = 12;   s =  1;   std1 =  0,50;   tau =  2,00  -->  NFE:  100068  -->  fx: 9,397957140320000E+01  -->  sd:2,185479999144550E+01
P = 12;   s =  2;   std1 =  0,50;   tau =  5,00  -->  NFE:  100068  -->  fx: 9,740962740752120E+01  -->  sd:2,107863048340070E+01
