




============================================================================
Função: Griewangk
============================================================================
P =  4;   s =  1;   porc =  0,10;   tau =  3,00  -->  NFE:  100000  -->  fx: 2,403270787123750E+00  -->  sd:2,124056580007560E+00
P = 12;   s =  1;   porc = 10,00;   tau =  0,50  -->  NFE:  100068  -->  fx: 2,490992930435790E+00  -->  sd:7,808512682130030E-01
P =  4;   s =  1;   porc = 50,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 2,582868087632760E+00  -->  sd:4,744729926667100E-01
P =  4;   s =  2;   porc =  0,10;   tau =  2,00  -->  NFE:  100000  -->  fx: 2,640406205878800E+00  -->  sd:2,109718303190810E+00
P =  4;   s =  1;   porc = 50,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 2,935094716243650E+00  -->  sd:4,290345762583570E-01
P =  4;   s =  1;   porc = 50,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 3,041251676768340E+00  -->  sd:5,242477767846730E-01
P =  4;   s =  2;   porc = 50,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 3,713693779368860E+00  -->  sd:1,027569235534110E+00
P =  4;   s =  1;   porc = 50,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 3,877567333432800E+00  -->  sd:1,044923895853200E+00
P =  4;   s =  1;   porc = 50,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 5,466723362190550E+00  -->  sd:1,256502733166610E+00
P =  4;   s =  2;   porc = 10,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 6,430069163112260E+00  -->  sd:2,750064315469990E+00
P =  4;   s =  1;   porc =  0,10;   tau =  3,50  -->  NFE:  100000  -->  fx: 6,889724389711530E+00  -->  sd:3,165845964934030E+00
P =  4;   s =  2;   porc =  0,10;   tau =  2,50  -->  NFE:  100000  -->  fx: 7,409696308339830E+00  -->  sd:3,925051449471820E+00
P =  4;   s =  1;   porc = 50,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 9,982416396419630E+00  -->  sd:2,374758099559530E+00
P =  4;   s =  1;   porc = 10,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 1,046086846859170E+01  -->  sd:3,712396732068200E+00
P =  4;   s =  1;   porc =  0,10;   tau =  0,50  -->  NFE:  100000  -->  fx: 1,093146197633480E+01  -->  sd:6,270613729318700E+00
P =  4;   s =  1;   porc =  0,10;   tau =  4,00  -->  NFE:  100000  -->  fx: 1,262714620632070E+01  -->  sd:7,009025883576370E+00
P =  4;   s =  2;   porc =  0,10;   tau =  3,00  -->  NFE:  100000  -->  fx: 1,394784625293720E+01  -->  sd:5,504957048909220E+00
P =  4;   s =  2;   porc = 50,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 1,402380247279090E+01  -->  sd:5,009400361627830E+00
