


=======================================================
Tuning: 3
=======================================================





============================================================================
Função: Griewangk
============================================================================
P = 12;   s = 10;   std1 = 10,00;   tau =  2,50  -->  NFE:  100016  -->  fx: 3,326911402621950E-06  -->  sd:6,138712877087770E-06
P = 12;   s =  2;   std1 =  1,00;   tau =  5,00  -->  NFE:  100016  -->  fx: 3,619960537294880E-05  -->  sd:8,960224126688910E-06
P = 12;   s =  2;   std1 =  1,00;   tau =  4,50  -->  NFE:  100016  -->  fx: 3,913007947835870E-05  -->  sd:1,028506748878750E-05
P = 12;   s =  2;   std1 =  1,00;   tau =  4,00  -->  NFE:  100016  -->  fx: 4,140495308086700E-05  -->  sd:7,593628953531930E-06
P = 12;   s =  2;   std1 =  1,00;   tau =  3,50  -->  NFE:  100016  -->  fx: 5,207654786789010E-05  -->  sd:1,057206656533650E-05
P = 12;   s =  2;   std1 =  1,00;   tau =  3,00  -->  NFE:  100016  -->  fx: 8,105027351135160E-05  -->  sd:1,774118295158720E-05
P = 12;   s =  2;   std1 =  1,00;   tau =  2,50  -->  NFE:  100016  -->  fx: 1,916195936550380E-04  -->  sd:6,624992737032550E-05
P = 12;   s =  2;   std1 =  5,00;   tau =  5,00  -->  NFE:  100016  -->  fx: 9,097304119339050E-04  -->  sd:1,754427954858830E-04
P = 12;   s =  2;   std1 =  5,00;   tau =  4,50  -->  NFE:  100016  -->  fx: 1,001881887552920E-03  -->  sd:1,798262203627310E-04
P = 12;   s =  2;   std1 =  5,00;   tau =  4,00  -->  NFE:  100016  -->  fx: 1,086941570130860E-03  -->  sd:2,562280120815270E-04
P = 12;   s = 10;   std1 =  5,00;   tau =  2,50  -->  NFE:  100016  -->  fx: 1,321661654109820E-03  -->  sd:6,582485079761550E-03
P = 12;   s =  2;   std1 =  5,00;   tau =  3,50  -->  NFE:  100016  -->  fx: 1,358533548808950E-03  -->  sd:2,716080910229850E-04
P =  4;   s = 10;   std1 =  1,00;   tau =  5,00  -->  NFE:  100036  -->  fx: 1,616963655239450E-03  -->  sd:3,953491488940850E-04
P = 12;   s =  2;   std1 =  5,00;   tau =  3,00  -->  NFE:  100016  -->  fx: 1,940352200961620E-03  -->  sd:4,464874866343160E-04
P =  4;   s = 10;   std1 =  1,00;   tau =  4,50  -->  NFE:  100036  -->  fx: 2,137806158224260E-03  -->  sd:4,484985700701360E-04
P = 12;   s = 10;   std1 =  1,00;   tau =  2,00  -->  NFE:  100016  -->  fx: 3,216098837692170E-03  -->  sd:8,057593749335580E-03
P =  4;   s = 10;   std1 =  1,00;   tau =  4,00  -->  NFE:  100036  -->  fx: 3,446509469830160E-03  -->  sd:1,007203571911410E-03
P = 12;   s =  2;   std1 = 10,00;   tau =  5,00  -->  NFE:  100016  -->  fx: 3,546955552180410E-03  -->  sd:5,608269849258960E-04
P = 12;   s =  2;   std1 = 10,00;   tau =  4,50  -->  NFE:  100016  -->  fx: 3,833838966712680E-03  -->  sd:7,362556780004840E-04
P = 12;   s =  2;   std1 = 10,00;   tau =  4,00  -->  NFE:  100016  -->  fx: 4,368906671285090E-03  -->  sd:7,574630749889890E-04
P = 12;   s =  2;   std1 =  5,00;   tau =  2,50  -->  NFE:  100016  -->  fx: 4,821816417369260E-03  -->  sd:1,708736435569130E-03
P = 12;   s =  2;   std1 = 10,00;   tau =  3,50  -->  NFE:  100016  -->  fx: 5,303435155356440E-03  -->  sd:1,317361528543030E-03
P = 12;   s =  2;   std1 = 10,00;   tau =  3,00  -->  NFE:  100016  -->  fx: 8,029572547440060E-03  -->  sd:1,542649912150140E-03
P = 12;   s =  2;   std1 =  1,00;   tau =  2,00  -->  NFE:  100016  -->  fx: 9,911940010865750E-03  -->  sd:1,848908940977020E-02
P =  4;   s = 10;   std1 =  1,00;   tau =  3,50  -->  NFE:  100036  -->  fx: 1,143750295949250E-02  -->  sd:7,228841028408230E-03
P = 12;   s =  2;   std1 = 10,00;   tau =  2,50  -->  NFE:  100016  -->  fx: 2,378581195408150E-02  -->  sd:1,183260207486840E-02
P =  4;   s = 10;   std1 =  5,00;   tau =  5,00  -->  NFE:  100036  -->  fx: 4,557593190187100E-02  -->  sd:1,231376768018880E-02
P =  4;   s = 10;   std1 =  5,00;   tau =  4,50  -->  NFE:  100036  -->  fx: 7,303294490056980E-02  -->  sd:1,336151840051590E-02
P =  4;   s = 10;   std1 =  5,00;   tau =  4,00  -->  NFE:  100036  -->  fx: 1,516846224334800E-01  -->  sd:7,551085553263310E-02
