============================================================================
Função: Beale
============================================================================

1...2...3...4...5...6...7...8...9...10...11...12...13...14...15...16...17...18...19...20...21...22...23...24...25...26...27...28...29...30...31...32...33...34...35...36...37...38...39...40...41...42...43...44...45...46...47...48...49...50...
==========================================================
===> Média de NFE, média de f(x) e desvio padrão de f(x):
parameter;AGEO1real1;AGEO2real1;
meanNFE;100001;100001;
meanFX;1,689975781427824E-05;1,0240400335304243E-05;
sdFX;1,6964405073892407E-05;1,2317518029509804E-05;

==========================================================
===> Médias para cada NFOB:
NFOB;AGEO1real1;AGEO2real1;
98000;1,7518328248159953E-05;1,0705068074393185E-05;
98500;1,689975781427824E-05;1,026092030590856E-05;
99000;1,689975781427824E-05;1,026092030590856E-05;
99500;1,689975781427824E-05;1,0240400335304243E-05;
100000;1,689975781427824E-05;1,0240400335304243E-05;

==========================================================
===> Melhores f(x) para cada execução:
execucao;AGEO1real1;AGEO2real1;
1;5,6769799648114826E-05;5,579937900869151E-05;
2;2,0548002882791208E-05;1,7717730336481355E-05;
3;3,967813449846068E-07;9,123554396346068E-06;
4;1,8636602059216022E-05;6,558692035786569E-05;
5;7,511995618061826E-05;4,997987630439616E-06;
6;1,6151761881538231E-06;3,214718453967144E-06;
7;2,945790911952946E-05;1,211896391508464E-06;
8;5,493690252117606E-05;1,1226731663793707E-06;
9;2,144429270847312E-05;1,566944759870002E-05;
10;1,8408754873291023E-05;5,106198193582304E-06;
11;1,248335640212732E-05;5,2338750706480085E-06;
12;4,209616330483887E-06;1,3137260908984306E-05;
13;3,231646917371436E-06;9,941579871862635E-06;
14;1,9682249483164107E-05;1,1830997760518326E-05;
15;5,36974102919259E-06;6,230734578996482E-06;
16;2,028076848176904E-06;8,246954030183396E-07;
17;2,780492193233668E-05;3,4277649456777177E-06;
18;3,607765341719123E-06;2,026440296138591E-07;
19;2,1379453711640913E-06;5,5369795540405075E-06;
20;2,09062132014754E-05;4,423598189007148E-06;
21;4,271175036781327E-06;1,4456398546612735E-05;
22;1,2615011674522069E-05;8,023442247904563E-06;
23;2,3738253695900532E-05;3,0674857257787256E-05;
24;3,987551681358678E-06;2,1330026283878826E-06;
25;4,744986815161961E-05;1,4052224629172236E-05;
26;4,953417720646188E-05;1,1150238859142313E-05;
27;1,8429060984357012E-05;7,786523030816192E-07;
28;2,0717275332997184E-05;1,5242634750492352E-06;
29;5,635240703021408E-06;7,194104966748386E-06;
30;5,784868001464262E-07;2,4919022443660524E-06;
31;1,7389770034447324E-05;1,0177199466428825E-05;
32;1,2057691060957275E-05;1,1830975856337823E-05;
33;1,3095771797193064E-05;7,702047521683601E-06;
34;3,6450968696902946E-07;3,109502968435864E-06;
35;1,2659905145248228E-05;8,087483444871516E-06;
36;6,254401042125252E-06;6,082316642421397E-06;
37;1,2100617270875406E-05;1,1234182201410522E-05;
38;2,7119425945075434E-05;5,172354517204134E-06;
39;1,3637778810749869E-05;5,641237241706377E-06;
40;5,889327169485264E-06;1,1259801051331528E-05;
41;1,0203761211160332E-05;5,294569066116853E-06;
42;5,505710435084372E-05;1,2189168475417933E-06;
43;7,413984732747283E-06;9,036931076879124E-06;
44;3,6763843054302277E-06;2,916911157870837E-06;
45;1,2267345204606875E-05;4,854024166376292E-07;
46;1,949548163795967E-05;2,0444703442075612E-05;
47;7,326835202187306E-06;1,4723622022078841E-05;
48;1,4410583014027635E-05;2,371295705557223E-05;
49;2,3850299192541754E-06;1,923816036206528E-06;
50;6,4303715218426155E-06;1,9145363727820053E-05;

Execution Time: 10538 ms
